Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Engineering,AERO,,,2,,,2,,,,,,,2
,BMEN,,,1,,,1,,,,,,,1
,CECN,,,1,,,1,,,,,,,1
,CHEL,,1,,,,1,,,,,,,1
,CHEN,,,1,,,1,,,,,,,1
,CPSC,,1,,,,1,,,,,,,1
,CPSL,,1,,,,1,,,,,,,1
,CVEN,,,,,,,,,1,1,,,1
,ELEN,,,,1,,1,,,,,,,1
,IDIL,,1,,,,1,,,,,,,1
,INEL,,1,,,,1,,,,,,,1
,INEN,,,1,1,,2,,,,,,,2
,MEEN,,,,2,,2,,,1,1,,,3
,OCEN,,,1,1,,2,,,,,,,2
,PETE,,,1,,,1,2,2,,,,,3
,PETL,1,,1,,,2,,,,,,,2
,RHEN,,,,1,,1,,,,,,,1
,Subtotal,1,5,9,6,,21,2,2,2,2,,,25
G. Bush School of Govt,PSAA,,,,,,,2,2,,,,,2
,Subtotal,,,,,,,2,2,,,,,2
Geosciences,ENGS,,,,1,,1,,,,,,,1
,ENST,,,1,,1,2,,,,,,,2
,GEOG,,,,1,,1,,,,,,,1
,OCNG,,,,,,,,,1,1,,,1
,Subtotal,,,1,2,1,4,,,1,1,,,5
"Liberal Arts
Science",ANTH,,,,,,,,,1,1,,,1
,COMM,,,1,,,1,,,,,,,1
,ECON,,1,,,,1,,,,,,,1
,ENGL,,,2,2,,4,,,,,,,4
,HIST,,2,,1,,3,,,,,,,3
,INTS,,,1,1,,2,,,,,,,2
,POLS,,,2,2,,4,,,,,,,4
,PSYC,,2,1,,,3,,,,,,,3
,SOCI,,,,2,,2,,,1,1,,,3
,Subtotal,,5,7,8,,20,,,2,2,,,22
,APHY,,,,,,,,,1,1,,,1
,BIOL,2,1,1,1,,5,,,,,,,5
,CHEM,1,,,1,,2,,,1,1,,,3
,PHYS,1,,,,,1,,,,,,,1
,Subtotal,4,1,1,2,,8,,,2,2,,,10
