Spring 2013,,White Only (NEW),"American Indian Only
(NEW)",Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)","Hispanic or Latino of any Race
(NEW)",Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Business Admin,ACCT,667,,49,22,106,1,11,28,5,889
,AGBU,5,,,,,,1,,,6
,BHNR,127,1,7,2,15,,2,,,154
,BUAD,"1,146",3,73,37,226,,29,33,6,"1,553"
,BUAG,10,,1,,5,,,,,16
,EMBA,56,1,7,9,14,,,,10,97
,FINC,515,2,36,6,84,,7,22,2,674
,INFO,358,2,43,9,74,,11,14,1,512
,MGMT,244,,15,13,48,,4,8,1,333
,MISY,38,,5,3,5,,,94,,145
,MKTG,344,,9,8,40,2,12,10,3,428
,MLER,35,,1,,4,,,1,1,42
,PMBA,25,,8,1,,,,1,1,36
,USBU,133,,4,8,27,,3,1,,176
,Subtotal,"3,703",9,258,118,648,3,80,212,30,"5,061"
Education,ATTR,8,,,1,1,,,,1,11
,BIED,3,,,,11,,,2,1,17
,CPSY,12,,2,6,10,,2,,,32
,EDAD,105,1,6,38,60,,1,1,1,213
,EDCI,232,3,5,42,37,,8,53,4,384
,EDHL,477,2,27,28,123,1,15,,,673
,EDIS,400,2,3,8,89,,8,,,510
,EDKI,492,,17,21,123,,21,5,,679
,EDSM,187,,3,23,37,,4,3,,257
,EDTC,2,,,,,,,,,2
,EHRD,75,,8,27,23,,2,31,,166
,EPSY,45,,3,5,19,,1,43,1,117
,GENE,1,,,,,,,,,1
,HEED,29,,5,7,14,,2,7,,64
,HLTH,214,,8,9,48,,5,1,,285
,HRDL,83,,5,5,30,,4,1,,128
,HRDV,94,1,3,7,20,,1,,,126
,INST,771,,5,15,111,,14,1,,917
,KINE,252,,8,14,49,1,8,24,1,357
,NUTR,2,,1,,,,,,,3
,SPED,23,,1,,3,,,,1,28
