Spring 2013,,White Only (NEW),"American Indian Only
(NEW)",Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)","Hispanic or Latino of any Race
(NEW)",Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Agriculture,RENR,48,1,,2,10,,2,,,63
,RLEM,65,,,1,18,,1,6,,91
,RPTS,343,1,7,26,39,2,7,27,1,453
,RRDV,2,,,,,,,,,2
,SOSC,15,,1,,2,,,7,,25
,SPSA,24,,1,,2,,1,,,28
,TGSC,7,,,,1,,,,,8
,TOXI,1,,,1,,,,1,,3
,USAL,111,1,,11,27,,3,,1,154
,WFSC,342,,4,11,98,3,6,21,3,488
,WISC,10,,,,2,,,,,12
,WMHS,13,,,1,3,,,2,,19
,Subtotal,"4,890",26,201,228,"1,051",10,116,405,19,"6,946"
Architecture,ARCH,58,,5,1,15,,,76,3,158
,COMG,16,,2,2,2,,,35,1,58
,COSC,258,2,2,7,50,,5,2,,326
,COSL,172,1,2,4,44,,6,,,229
,ENDL,124,,11,4,53,,2,2,1,197
,ENDS,98,,3,1,34,,5,3,,144
,LAND,43,,2,,14,,5,35,,99
,LANL,26,,1,,19,,,,,46
,LDEV,11,,,1,2,,,7,,21
,LPDV,3,,,,2,,,5,,10
,URPL,24,,,2,6,,1,18,1,52
,URPN,5,,,,5,,1,,,11
,URSC,40,,3,5,24,,,41,,113
,USAR,39,,3,2,24,,1,1,,70
,VISL,98,,8,4,27,,1,,1,139
,VIST,104,,10,1,17,,4,13,1,150
,Subtotal,"1,119",3,52,34,338,,31,238,8,"1,823"
