Spring 2013,,Undergrad uate,Masters,Doctoral,Profession al,Total
Science,APHY,,,14,,14
,APMS,194,,,,194
,BIOL,"1,117",4,64,,"1,185"
,BMCB,100,,,,100
,BOTN,,,2,,2
,CHEM,289,7,252,,548
,GENE,,1,1,,2
,MATH,250,37,112,,399
,MBIO,84,1,12,,97
,MSEN,,,2,,2
,PHYS,161,17,149,,327
,STAT,,114,55,,169
,USSC,21,,,,21
,ZOOL,80,,6,,86
,Subtotal,"2,296",181,669,,"3,146"
"Veterinary Medicine
General Studies",BIMS,"1,614",62,48,,"1,724"
,BIOT,,1,,,1
,EPID,,1,,,1
,GENE,,,11,,11
,LAMD,,1,,,1
,STJR,,8,,,8
,TOXI,,,13,,13
,USVM,2,,,,2
,VPAT,,,16,,16
,VPHY,,,1,,1
,VTMD,,,,526,526
,VTMI,,,11,,11
,VTPH,,2,,,2
,Subtotal,"1,616",75,100,526,"2,317"
,GEST,"1,772",,,,"1,772"
,TEAM,"1,108",,,,"1,108"
,Subtotal,"2,880",,,,"2,880"
