College General Studies,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary,,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,,
Spring 2013,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"2,880",100.0%,,,,,,,"2,880",100.0%,
Female,,"1,343",46.6%,,,,,,,"1,343",46.6%,
Male,,"1,537",53.4%,,,,,,,"1,537",53.4%,
Ethnicity,White Only (NEW),"1,922",66.7%,,,,,,,"1,922",66.7%,
American Indian Only (NEW),,11,.4%,,,,,,,11,.4%,
Asian Only (NEW),,130,4.5%,,,,,,,130,4.5%,
Black Only + 2 or more/1 Black (NEW),,125,4.3%,,,,,,,125,4.3%,
Hispanic or Latino of any Race (NEW),,604,21.0%,,,,,,,604,21.0%,
Native Hawaii Only (New),,3,.1%,,,,,,,3,.1%,
2 or More/Excluding Black (NEW),,63,2.2%,,,,,,,63,2.2%,
International,,15,.5%,,,,,,,15,.5%,
Unknown or Not Reported,,7,.2%,,,,,,,7,.2%,
TAMU Age Categories,<18,,,,,,,,,,,
18-21,,"2,849",98.9%,,,,,,,"2,849",98.9%,
22-25,,30,1.0%,,,,,,,30,1.0%,
26-30,,1,.0%,,,,,,,1,.0%,
31-39,,,,,,,,,,,,
40+,,,,,,,,,,,,
Enrollment Status,1st Time in College,,,,,,,,,,,
1st Time Graduate,,,,,,,,,,,,
1st Time Transfer,,,,,,,,,,,,
Readmitted,,,,,,,,,,,,
Continuing,,"2,880",100.0%,,,,,,,"2,880",100.0%,
Tuition Status,Resident Tuition,"2,814",97.7%,,,,,,,"2,814",97.7%,
Non-Resident Tuition,,66,2.3%,,,,,,,66,2.3%,
Residency Status,Texas Resident,"2,771",96.2%,,,,,,,"2,771",96.2%,
"Non-TX, US Resident",,92,3.2%,,,,,,,92,3.2%,
"Non-TX, Non-US Resident",,17,.6%,,,,,,,17,.6%,
SCH Categories,< 6 SCH,954,33.1%,,,,,,,954,33.1%,
6-8 SCH,,176,6.1%,,,,,,,176,6.1%,
9-11 SCH,,25,.9%,,,,,,,25,.9%,
12-14 SCH,,"1,114",38.7%,,,,,,,"1,114",38.7%,
15-17 SCH,,596,20.7%,,,,,,,596,20.7%,
>17 SCH,,15,.5%,,,,,,,15,.5%,
Ft/Pt:  TAMU Status,Less Than Half Time,954,33.1%,,,,,,,954,33.1%,
Half-Time,,201,7.0%,,,,,,,201,7.0%,
Full-Time,,"1,725",59.9%,,,,,,,"1,725",59.9%,
Top10_TX,No,"2,068",71.8%,,,,,,,"2,068",71.8%,
Yes,,812,28.2%,,,,,,,812,28.2%,
First Generation,No,"1,979",68.7%,,,,,,,"1,979",68.7%,
Unknown,,81,2.8%,,,,,,,81,2.8%,
Yes,,820,28.5%,,,,,,,820,28.5%,
"Prepared by DARS, 2/20/2013",,,,,,,,,,,,
Page 17,,,,,,,,,,,,
