Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
G. Bush School of Govt,CAIA,,,,,,,35,35,,,,,35
,CHLS,,,,,,,18,18,,,,,18
,CNPM,,,,,,,18,18,,,,,18
,INTA,,,,,,,109,109,,,,,109
,PSAA,,,,,,,72,72,,,,,72
,Subtotal,,,,,,,252,252,,,,,252
Geosciences,ATMO,,,,,,,19,19,14,14,,,33
,ENGS,14,17,20,44,,95,,,,,,,95
,ENST,5,23,15,28,,71,,,,,,,71
,GEOG,,11,30,31,,72,16,16,14,14,,,102
,GEOL,23,35,40,44,3,145,36,36,18,18,,,199
,GEOP,12,6,8,13,,39,10,10,5,5,,,54
,GEOS,,,,,,,2,2,,,,,2
,MARB,,,,,,,1,1,2,2,,,3
,METL,1,1,1,2,,5,,,,,,,5
,METR,8,30,11,39,1,89,,,,,,,89
,OCNG,,,,,,,9,9,24,24,,,33
,SPSG,,1,1,2,,4,,,,,,,4
,USGE,,,,1,,1,,,,,,,1
,WMHS,,,,,,,7,7,5,5,,,12
,Subtotal,63,124,126,204,4,521,100,100,82,82,,,703
Liberal Arts,ANTH,13,29,21,55,,118,27,27,64,64,,,209
,CLSS,3,2,2,10,,17,,,,,,,17
,COMM,46,170,172,196,1,585,4,4,25,25,,,614
,ECON,45,93,146,169,,453,7,7,11,11,,,471
,ENGL,29,84,133,195,1,442,13,13,40,40,,,495
,FREN,,,2,6,,8,,,,,,,8
,GERM,,,,3,,3,,,,,,,3
,HISP,,,,,,,,,8,8,,,8
,HIST,21,116,140,211,2,490,4,4,49,49,,,543
,INTS,34,118,131,159,3,445,,,,,,,445
,MODL,,2,1,,,3,,,,,,,3
,MUSC,,5,4,6,1,16,,,,,,,16
,NRSC,,,,,,,,,12,12,,,12
,PERF,,,,,,,4,4,,,,,4
,PHIL,3,18,20,25,,66,5,5,14,14,,,85
,POLS,42,119,112,160,1,434,,,27,27,,,461
,PSYC,43,162,259,367,,831,4,4,48,48,,,883
,RUSS,,,4,4,,8,,,,,,,8
,SOCI,15,33,97,107,,252,1,1,24,24,,,277
,SPAN,1,8,4,14,1,28,,,,,,,28
,TCMS,14,32,42,39,,127,,,,,,,127
