Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,,,,,
University Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2013,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,273,323,596,3,2,5,14,15,29,6,12,18,77,89,166,10,8,18,6,12,18,1,1,389,462,851,
TAMU Age               18-21,201,179,380,2,1,3,6,9,15,5,7,12,55,50,105,7,7,14,3,5,8,1,1,279,259,538,
22-25,62,106,168,1,1,2,6,5,11,1,3,4,20,26,46,3,1,4,3,7,10,,,96,149,245,
26-30,4,23,27,,,,1,1,2,,1,1,2,7,9,,,,,,,,,7,32,39,
31-39,1,14,15,,,,1,,1,,1,1,,5,5,,,,,,,,,2,20,22,
40+,5,1,6,,,,,,,,,,,1,1,,,,,,,,,5,2,7,
Classification/Deg Freshman,12,9,21,,,,,,,,1,1,2,,2,1,,1,,1,1,,,15,11,26,
"ree Objective
Sophomore",147,189,336,3,,3,6,9,15,4,3,7,40,52,92,6,4,10,3,5,8,,,209,262,471,
Junior,99,106,205,,2,2,5,4,9,2,7,9,29,28,57,2,3,5,2,4,6,1,1,139,155,294,
Senior,12,17,29,,,,3,1,4,,1,1,6,8,14,1,1,2,1,2,3,,,23,30,53,
PB,3,2,5,,,,,1,1,,,,,1,1,,,,,,,,,3,4,7,
Tuition Status         Resident Tuition,267,317,584,3,2,5,14,13,27,6,10,16,76,88,164,9,8,17,4,4,8,1,1,379,443,822,
Non-Resident Tuition,6,6,12,,,,,2,2,,2,2,1,1,2,1,,1,2,8,10,,,10,19,29,
Residency Status    Texas Resident,269,315,584,3,2,5,14,13,27,6,9,15,76,89,165,9,8,17,,,,1,1,377,437,814,
"Non-TX, US Resident",4,7,11,,,,,2,2,,3,3,1,,1,1,,1,,,,,,6,12,18,
"Non-TX, Non-US Resident",,1,1,,,,,,,,,,,,,,,,6,12,18,,,6,13,19,
SCH Categories       < 6 SCH,5,2,7,,,,,,,,,,,,,,,,,,,,,5,2,7,
6-8 SCH,7,9,16,,,,1,,1,,,,2,3,5,1,,1,,,,,,11,12,23,
9-11 SCH,6,21,27,,1,1,,1,1,,,,1,4,5,1,,1,,,,,,8,27,35,
12-14 SCH,147,185,332,2,1,3,10,8,18,4,11,15,55,52,107,4,7,11,4,7,11,1,1,226,272,498,
15-17 SCH,107,103,210,1,,1,3,6,9,2,1,3,19,29,48,3,1,4,1,4,5,,,136,144,280,
>17 SCH,1,3,4,,,,,,,,,,,1,1,1,,1,1,1,2,,,3,5,8,
Ft/Pt:  TAMU          Less Than Half Time,5,2,7,,,,,,,,,,,,,,,,,,,,,5,2,7,
"Status
Half-Time",13,30,43,,1,1,1,1,2,,,,3,7,10,2,,2,,1,1,,,19,40,59,
Full-Time,255,291,546,3,1,4,13,14,27,6,12,18,74,82,156,8,8,16,6,11,17,1,1,365,420,785,
Top 10% Texas        No,245,296,541,3,1,4,12,14,26,6,12,18,70,86,156,8,7,15,6,12,18,1,1,350,429,779,
Yes,28,27,55,,1,1,2,1,3,,,,7,3,10,2,1,3,,,,,,39,33,72,
First Generation     No,177,213,390,2,1,3,10,10,20,3,5,8,32,41,73,8,5,13,,,,,,232,275,507,
Unknown,4,6,10,,,,,,,,2,2,1,3,4,,,,6,12,18,,,11,23,34,
Yes,92,104,196,1,1,2,4,5,9,3,5,8,44,45,89,2,3,5,,,,1,1,146,164,310,
Dorm / Off-             Off Campus,259,290,549,3,2,5,11,12,23,4,11,15,65,73,138,10,7,17,4,7,11,1,1,356,403,759,
"campus students
On Campus",14,33,47,,,,3,3,6,2,1,3,12,16,28,,1,1,2,5,7,,,33,59,92,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 22 Feb 13",,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 140,,,,,,,,,,,,,,,,,,,,,,,,,,,
