Fall 2006,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering      AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL RHEL RHEN SENG",,"407
249
199
168
189
90
111
90
336
292
149
180
325
565
318
335
189
151
145
364
158
222
576
614
94
73
67
109
215
242
16
19","27.6%
-1.2%
9.3%
-0.6%
17.4%
-4.3%
-5.9%
-24.4%
76.8%
3.9%
-20.3%
16.9%
0.6%
-9.0%
-1.9%
-1.5%
-24.1%
7.9%
5.8%
11.0%
64.6%
14.4%
17.3%
-1.1%
6.8%
0.0%
28.8%
5.8%
18.8%
56.1%
77.8%
-9.5%","63
42
41
22
68
0
110
170
184
5
16
27
84
220
55
12
149
1","-13.7%
-2.3%
36.7%
-18.5%
3.0%
-100.0%
-12.7%
8.3%
36.3%
100.0%
33.3%
0.0%
12.0%
12.2%
44.7%
-36.8%
10.4%
0.0%","41
25
26
21
79
11
119
121
158
14
1
61
7
141
37
23
52","7.9%
-16.7%
18.2%
31.3%
17.9%
-42.1%
-15.0%
9.0%
3.9%
55.6%
0.0%
-6.2%
-12.5%
6.8%
12.1%
4.5%
40.5%",,,"407
353
199
235
189
157
111
133
336
439
11
378
180
325
856
318
677
14
5
189
151
17
145
391
158
367
7
576
975
94
165
67
144
416
242
16
19
1","27.6%
-2.8%
9.3%
-2.9%
17.4%
7.5%
-5.9%
-17.9%
76.8%
6.0%
-47.6%
-16.6%
16.9%
0.6%
-3.7%
-1.9%
8.0%
55.6%
100.0%
-24.1%
7.9%
30.8%
5.8%
10.1%
64.6%
9.9%
-12.5%
17.3%
2.7%
6.8%
14.6%
28.8%
0.0%
17.8%
56.1%
77.8%
-9.5%
0.0%",
,Subtotal,"7,257",7.2%,"1,269",9.2%,937,3.9%,,,"9,463",7.1%,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
