Fall 2006,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,38,36,2,2,6,4,2,3,1,1,27,32,2,1,76,78,154,
,COMG,2,15,1,1,,3,1,2,,,18,41,,,22,62,84,
,COSC,22,295,,2,5,31,,3,,,,1,,2,27,335,362,
,COSL,25,206,2,3,6,25,1,5,1,1,1,,,3,36,243,279,
,ENDL,147,139,4,3,19,32,11,6,,1,,3,,,183,184,367,
,ENDS,92,97,1,3,13,17,6,6,1,,3,1,1,,117,124,241,
,LAND,32,55,,1,6,8,1,,,1,7,1,,1,46,67,113,
,LANL,20,26,,,2,7,1,2,,,1,,,,24,35,59,
,LDEV,3,14,,1,1,1,,2,,1,2,6,,1,6,26,32,
,URPL,4,11,,3,1,1,,,,,5,8,1,,11,23,34,
,URSC,3,7,1,,1,,1,,,,9,23,,1,15,31,46,
,VIZA,12,32,1,,2,3,2,4,,,2,6,,1,19,46,65,
,Subtotal,400,933,12,19,62,132,26,33,3,5,75,122,4,10,582,"1,254",1836,
Business,ACCT,374,284,5,3,29,21,20,18,,3,8,8,2,2,438,339,777,
Admin,AGBU,3,3,,,,,,,,,,,,,3,3,6,
,BUAD,853,725,39,23,123,115,38,30,6,6,12,29,3,5,"1,074",933,2007,
,BUAG,3,10,,,,2,,,,1,,,,,3,13,16,
,EMBA,11,52,2,2,5,8,1,2,,,,3,1,3,20,70,90,
,FINC,220,327,2,4,16,22,6,22,2,3,4,17,,1,250,396,646,
,INFO,32,91,1,3,3,11,2,3,,1,3,3,,2,41,114,155,
,MGMT,161,169,5,4,30,12,12,8,1,,6,5,1,1,216,199,415,
,MISY,27,32,1,,3,,2,4,,,31,66,,,64,102,166,
,MKTG,380,145,5,,28,14,8,6,,,11,11,,1,432,177,609,
,MLER,15,49,,1,1,4,,,,1,1,1,1,3,18,59,77,
,Subtotal,"2,079","1,887",60,40,238,209,89,93,9,15,76,143,8,18,"2,559","2,405",4964,
Education,CPSY,18,8,5,3,5,2,1,1,,,2,,1,,32,14,46,
,EDAD,111,80,19,10,32,14,1,,2,,6,3,2,2,173,109,282,
,EDCI,200,48,37,6,31,11,8,1,,1,28,8,2,1,306,76,382,
,EDHL,140,22,6,3,18,3,2,1,3,,2,,,1,171,30,201,
,EDIS,712,23,15,4,64,8,12,1,4,,2,,3,,812,36,848,
,EDKI,373,226,18,10,35,38,5,9,,1,,,1,,432,284,716,
,EDSM,95,175,4,11,10,19,1,1,,1,1,1,,,111,208,319,
,EDTC,5,6,,,1,1,,1,,,2,,,,8,8,16,
,EHRD,70,22,14,7,21,10,,3,,,16,6,2,,123,48,171,
,EPSY,90,12,4,1,18,1,,,,1,22,9,,,134,24,158,
,HEED,13,6,6,,1,,2,,,,3,2,,,25,8,33,
,HLTH,117,20,7,,16,2,2,3,,,,,1,,143,25,168,
,INST,837,32,12,3,113,6,12,1,2,,2,,1,,979,42,1021,
,ISNC,185,114,11,8,27,25,3,6,1,1,1,1,1,1,229,156,385,
,KINE,171,117,5,4,13,12,4,2,1,,4,14,,3,198,152,350,
,PHED,1,3,,,,,,,,,1,,,,2,3,5,
,SPMT,51,104,,2,4,13,1,,,,,1,,1,56,121,177,
,SPSY,19,4,7,,7,3,4,,,,1,,,,38,7,45,
,TECR,25,2,,,1,,,,,1,,,,,26,3,29,
,Subtotal,"3,233","1,024",170,72,417,168,58,30,13,6,93,45,14,9,"3,998","1,354",5352,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,,,,,,,,
