"Fall 2006
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
3
1
2
3
9
7
15
18
5
9
1
8
3
34
6
32
5
143
99
10
10
6
125
118
118
284
284
1,325","Sophomore
3
3
2
8
2
22
20
10
14
1
7
22
1
25
1
38
17
180
49
6
8
3
66
73
73
182
182
990","Junior
5
3
8
17
18
24
13
15
16
2
41
7
34
10
197
50
14
3
3
70
54
54
32
32
922","Senior
2
2
5
3
12
6
35
21
17
21
15
21
5
31
1
47
26
246
37
6
7
1
51
57
57
1,091","PB
1
1
1
1
7","Total
13
3
10
11
37
15
89
77
56
57
1
39
67
11
131
15
151
58
767
236
36
28
13
313
302
302
498
498
4,335",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,2,2,2,2,34,34,15,
,,,,,,,,,,,,,,3,
,,,,,,,,3,3,,,,,13,
,,,,,,,,1,1,,,,,14,
,,,,,,,,4,4,,,,,4,
,,,,,,,,10,10,2,2,,,49,
,,,,,,,,5,5,3,3,,,23,
,,,,,,,,,,,,,,89,
,,,,,,,,5,5,2,2,,,84,
,,,,,,,,3,3,1,1,,,60,
,,,,,,,,1,1,3,3,,,61,
,,,,,,,,,,,,,,1,
,,,,,,,,3,3,12,12,,,54,
,,,,,,,,2,2,1,1,,,70,
,,,,,,,,2,2,1,1,,,14,
,,,,,,,,4,4,4,4,,,139,
,,,,,,,,,,,,,,15,
,,,,,,,,9,9,6,6,,,166,
,,,,,,,,9,9,8,8,,,75,
,,,,,,,,43,43,41,41,,,851,
,,,,,,,,4,4,,,,,240,
,,,,,,,,8,8,15,15,,,59,
,,,,,,,,4,4,1,1,,,33,
,,,,,,,,6,6,3,3,,,22,
,,,,,,,,,,1,1,,,1,
,,,,,,,,22,22,20,20,,,355,
,,,,,,,,,,,,,,336,
,,,,,,,,1,1,,,,,1,
,,,,,,,,5,5,3,3,,,8,
,,,,,,,,6,6,3,3,34,34,345,
,,,,,,,,,,,,,,498,
,,,,,,,,,,,,,,498,
,,,,,,,,10,10,3,3,,,13,
,,,,,,,,,2,,,,,2,
,,,,,,,2,10,12,3,3,,,15,
,,,,,,,28,312,340,232,232,34,34,"4,941",
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,,,,
