Fall 2006,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Other -              AGBU
Special              BIOT
Populations       ENSM
FSTC GENE MARM MDSC MEPS MSEN NUTR PHLT PPHY REEP TOXI WMHS",,43,10.3%,"30
23
18
15
16
0
10
14
5
18
16
18
7
12","-16.7%
15.0%
63.6%
-31.8%
0.0%
-100.0%
-44.4%
40.0%
-16.7%
28.6%
-36.0%
5.9%
-41.7%
33.3%","19
44
26
22
14
0
23
9","-20.8%
0.0%
13.0%
57.1%
7.7%
-100.0%
-8.0%
200.0%",,,"30
23
18
34
60
0
10
40
27
32
16
0
61
30
21","-16.7%
15.0%
63.6%
-26.1%
0.0%
-100.0%
-44.4%
21.2%
35.0%
18.5%
-36.0%
-100.0%
8.9%
-18.9%
75.0%",
,Subtotal,43,10.3%,202,-6.9%,157,6.8%,,,402,-0.2%,
Total,,"36,580",1.4%,"4,839",3.6%,"3,452",3.7%,509,-1.0%,"45,380",1.8%,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
