"Fall 2006
Agriculture             AGEC ALEC ANSC BAEN BCBP CLAG ENTO FRSC HRSC NFSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering            AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH  of Govt                   Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
631
1,083
874
333
463
307
158
72
171
553
211
174
208
391
177
527
6,333
827
725
284
1,836
777
2,119
723
321
415
609
4,964
385
453
549
1,969
1,996
5,352
760
434
775
22
909
1,392
1,245
876
530
1,551
311
658
9,463
199
199",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,163,365,1,2,6,21,1,3,2,1,21,42,2,1,196,435,,
,389,509,19,50,39,45,3,10,3,4,3,7,2,,458,625,,
,457,294,9,5,53,21,6,3,3,4,5,12,2,,535,339,,
,32,235,3,4,7,12,1,1,1,2,9,24,,2,53,280,,
,155,118,10,4,29,27,25,24,,1,34,28,3,5,256,207,,
,76,124,9,21,23,31,4,11,,,4,1,1,2,117,190,,
,55,48,3,1,18,15,2,2,1,,5,8,,,84,74,,
,7,48,2,1,4,2,,1,,,3,4,,,16,56,,
,83,54,2,,2,7,1,1,,,9,10,1,1,98,73,,
,381,62,8,3,52,10,21,5,1,,7,1,2,,472,81,,
,70,66,9,3,18,18,4,5,2,1,3,12,,,106,105,,
,51,91,1,,6,10,1,,1,,5,8,,,65,109,,
,41,135,,1,8,10,2,,,,4,5,,2,55,153,,
,150,152,4,5,16,14,1,2,3,3,28,9,4,,206,185,,
,20,124,,2,4,3,2,1,1,3,6,9,1,1,34,143,,
,170,269,2,1,29,25,2,,3,5,12,5,2,2,220,307,,
,"2,300","2,694",82,103,314,271,76,69,21,24,158,185,20,16,"2,971","3,362",,
,289,304,8,8,40,56,21,19,2,1,32,42,3,2,395,432,,
,49,516,3,6,11,59,2,10,1,2,19,42,,5,85,640,,
,62,113,1,5,11,17,3,4,,2,24,38,1,3,102,182,,
,400,933,12,19,62,132,26,33,3,5,75,122,4,10,582,"1,254",,
,374,284,5,3,29,21,20,18,,3,8,8,2,2,438,339,,
,870,790,41,25,128,125,39,32,6,7,12,32,4,8,"1,100","1,019",,
,235,376,2,5,17,26,6,22,2,4,5,18,1,4,268,455,,
,59,123,2,3,6,11,4,7,,1,34,69,,2,105,216,,
,161,169,5,4,30,12,12,8,1,,6,5,1,1,216,199,,
,380,145,5,,28,14,8,6,,,11,11,,1,432,177,,
,"2,079","1,887",60,40,238,209,89,93,9,15,76,143,8,18,"2,559","2,405",,
,185,114,11,8,27,25,3,6,1,1,1,1,1,1,229,156,,
,181,102,33,17,53,24,1,3,2,,22,9,4,2,296,157,,
,307,34,22,6,111,14,11,2,1,1,29,9,2,,483,66,,
,961,673,46,30,97,87,17,16,4,2,11,18,2,5,"1,138",831,,
,"1,599",101,58,11,129,18,26,3,5,2,30,8,5,1,"1,852",144,,
,"3,233","1,024",170,72,417,168,58,30,13,6,93,45,14,9,"3,998","1,354",,
,76,460,3,13,23,91,4,16,,,7,66,,1,113,647,,
,132,143,6,4,20,25,22,32,1,1,10,36,,2,191,243,,
,149,329,10,14,44,43,15,20,2,3,44,100,,2,264,511,,
,2,7,2,,,1,,,,,1,9,,,5,17,,
,40,493,4,30,13,73,8,37,,4,40,162,,5,105,804,,
,196,756,9,11,40,110,6,34,1,5,33,188,1,2,286,"1,106",,
,47,546,13,35,21,112,12,72,,1,55,327,1,3,149,"1,096",,
,98,622,13,11,24,58,6,23,1,4,2,10,,4,144,732,,
,65,219,11,9,17,49,9,13,,,27,109,2,,131,399,,
,134,915,11,17,17,133,6,43,,8,23,235,,9,191,"1,360",,
,39,180,2,7,11,21,4,12,1,,6,25,1,2,64,247,,
,68,302,3,12,10,44,4,23,,1,32,155,,4,117,541,,
,"1,046","4,972",87,163,240,760,96,325,6,27,280,"1,422",5,34,"1,760","7,703",,
,65,93,3,3,7,10,2,2,,2,4,8,,,81,118,,
,65,93,3,3,7,10,2,2,,2,4,8,,,81,118,,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,,,,,,,
