Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Panama,4,5,,,9,
Paraguay,,2,1,,3,
Peru,3,6,16,,25,
Philippines,1,4,3,,8,
Poland,1,1,3,,5,
Portugal,2,2,1,,5,
Qatar,2,1,,,3,
Romania,,1,9,,10,
Russia,2,9,15,,26,
Rwanda,,2,1,,3,
Saudi Arabia,14,6,11,,31,
Serbia,,5,4,,9,
Sierra Leone,1,,,,1,
Singapore,4,2,1,,7,
Slovakia,2,,,,2,
South Africa,4,,3,,7,
Spain,6,4,,,10,
Sri Lanka (Ceylon),3,7,6,,16,
Sudan,,,1,,1,
Sweden,2,,2,,4,
Switzerland,2,,1,,3,
Syria,,1,1,,2,
Taiwan,5,68,99,,172,
Tanzania,,,1,,1,
Thailand,2,11,20,,33,
Togo,,1,,,1,
Trinidad & Tobago,,2,1,,3,
Tunisia,2,3,,,5,
Turkey,,30,58,,88,
Turkmenistan,2,,,,2,
Uganda,,1,1,,2,
Ukraine,,2,9,,11,
United Arab Emirates,3,3,2,,8,
United Kingdom,13,,3,,16,
United States,"36,076","3,363","1,832",509,"41,780",
Uruguay,4,1,4,,9,
Uzbekistan,,,1,,1,
Venezuela,9,13,12,,34,
Viet Nam Socialist Republic,9,8,8,,25,
Zambia,2,1,,,3,
Zimbabwe  (Rhodesia),1,,5,,6,
