"Fall 2006
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts            ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                   BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies      GEST
Subtotal Other - Special        CLMD Populations             COFD
MARS SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,161,0.0%,2,100.0%,15,-11.8%,2,-60.0%,,,,24,20.0%,,2,-33.3%,206,-0.5%,
,43,13.2%,,,3,-50.0%,2,-50.0%,,,,,,,,,48,0.0%,
,167,1.2%,4,0.0%,13,-31.6%,6,200.0%,,3,0.0%,22,4.8%,,2,0.0%,217,0.5%,
,147,0.7%,0,-100.0%,14,40.0%,2,-50.0%,,2,100.0%,42,-16.0%,,1,-50.0%,208,-2.8%,
,38,-11.6%,,,4,100.0%,1,0.0%,,,,25,25.0%,,,,68,3.0%,
,556,0.5%,6,0.0%,49,-9.3%,13,-18.8%,,5,25.0%,113,1.8%,,5,-28.6%,747,-0.5%,
,191,1.6%,2,100.0%,23,43.8%,8,166.7%,,1,100.0%,17,6.3%,,4,0.0%,246,8.4%,
,358,-0.6%,10,-28.6%,89,2.3%,21,61.5%,,2,-60.0%,7,40.0%,,4,100.0%,491,1.0%,
,862,8.8%,17,0.0%,84,10.5%,11,10.0%,,5,150.0%,11,-21.4%,,6,50.0%,996,8.9%,
,385,-6.1%,9,-10.0%,60,-3.2%,35,34.6%,,4,100.0%,99,16.5%,,4,0.0%,596,-0.2%,
,667,-1.6%,37,32.1%,61,1.7%,21,31.3%,,5,0.0%,30,7.1%,,1,-80.0%,822,0.2%,
,19,-17.4%,1,0.0%,1,-75.0%,2,0.0%,,1,100.0%,,,,1,0.0%,25,-19.4%,
,65,-19.8%,,,54,12.5%,0,-100.0%,,,,4,100.0%,,1,100.0%,124,-6.1%,
,660,-1.5%,16,23.1%,70,11.1%,7,-22.2%,,2,0.0%,3,-25.0%,,6,-40.0%,764,-0.9%,
,111,6.7%,2,-50.0%,14,40.0%,5,25.0%,,1,100.0%,2,-50.0%,,2,-33.3%,137,6.2%,
,777,-7.2%,40,48.1%,139,8.6%,26,4.0%,,1,-80.0%,16,-11.1%,,6,50.0%,"1,005",-3.7%,
,63,-16.0%,7,133.3%,15,0.0%,1,100.0%,,,,,,,,,86,-7.5%,
,879,-11.1%,53,10.4%,166,-11.2%,37,5.7%,,7,0.0%,9,-18.2%,,2,-66.7%,"1,153",-10.1%,
,301,9.1%,35,29.6%,75,17.2%,13,-13.3%,,2,-33.3%,10,-47.4%,,2,0.0%,438,7.9%,
,"5,338",-2.6%,229,19.3%,851,3.8%,187,17.6%,,31,6.9%,208,1.0%,,39,-13.3%,"6,883",-0.7%,
,"1,204",10.8%,68,17.2%,240,18.8%,200,25.8%,,8,0.0%,47,6.8%,,2,0.0%,"1,769",13.4%,
,314,4.0%,17,-10.5%,59,-10.6%,32,-13.5%,,3,-25.0%,108,-6.1%,,3,-50.0%,536,-2.4%,
,275,-11.9%,7,0.0%,33,-19.5%,13,-23.5%,,2,100.0%,49,6.5%,,3,-25.0%,382,-10.7%,
,131,7.4%,2,-50.0%,22,4.8%,15,36.4%,,3,0.0%,89,-3.3%,,1,-50.0%,263,3.1%,
,25,-10.7%,0,-100.0%,1,0.0%,5,66.7%,,,,58,31.8%,,2,100.0%,91,16.7%,
,"1,949",5.3%,94,5.6%,355,7.3%,265,16.7%,,16,0.0%,351,2.9%,,11,-26.7%,"3,041",6.0%,
,"1,806",-6.0%,53,6.0%,336,8.4%,188,8.0%,,15,36.4%,4,-55.6%,,9,-30.8%,"2,411",-3.1%,
,28,33.3%,,,0,-100.0%,3,50.0%,,1,100.0%,9,50.0%,,,,41,36.7%,
,3,-40.0%,,,1,0.0%,,,,,,,,,,,4,-33.3%,
,2,100.0%,,,,,0,-100.0%,,,,1,0.0%,,,,3,0.0%,
,36,-5.3%,3,50.0%,8,60.0%,1,100.0%,,,,18,-5.3%,,1,0.0%,67,3.1%,
,7,40.0%,1,100.0%,0,-100.0%,1,0.0%,,,,8,14.3%,,,,17,21.4%,
,"1,882",-5.5%,57,9.6%,345,8.5%,193,8.4%,,16,45.5%,40,-4.8%,,10,-28.6%,"2,543",-2.5%,
,"2,783",-6.8%,148,16.5%,498,-8.3%,135,3.1%,,29,52.6%,17,0.0%,,7,40.0%,"3,617",-5.5%,
,"2,783",-6.8%,148,16.5%,498,-8.3%,135,3.1%,,29,52.6%,17,0.0%,,7,40.0%,"3,617",-5.5%,
,3,-50.0%,,,,,,,,,,7,-41.7%,,,,10,-44.4%,
,141,5.2%,6,100.0%,13,-13.3%,10,-28.6%,,,,142,5.2%,,3,50.0%,315,4.0%,
,0,-100.0%,,,,,,,,,,,,,,,0,-100.0%,
,,,,,,,,,,,,61,8.9%,,,,61,8.9%,
,8,-46.7%,1,-50.0%,2,0.0%,,,,,,4,-20.0%,,1,0.0%,16,-36.0%,
,152,-2.6%,7,40.0%,15,-11.8%,10,-28.6%,,,,214,2.9%,,4,33.3%,402,-0.2%,
,"33,386",-0.1%,"1,355",8.1%,"4,941",8.8%,"1,702",12.6%,,228,11.8%,"3,554",4.3%,,214,-7.8%,"45,380",1.8%,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,,,,,,,,
