Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Ethiopia,2,2,1,,5,
France,7,18,9,,34,
"Gambia, The",,1,,,1,
Georgia (C.I.S.),,1,2,,3,
Germany,2,9,9,,20,
Ghana,,6,1,,7,
Greece,1,1,7,,9,
Guatemala,4,5,3,,12,
Honduras,6,5,,,11,
Hong Kong,5,4,4,,13,
Iceland,,,1,,1,
India,73,577,226,,876,
Indonesia,28,21,10,,59,
Iran,3,10,22,,35,
Iraq,1,2,,,3,
Ireland,,1,1,,2,
Israel,2,,,,2,
Italy,1,7,4,,12,
Jamaica,3,2,6,,11,
Japan,8,6,25,,39,
Jordan,2,3,4,,9,
Kazakhstan,24,17,1,,42,
Kenya,,,2,,2,
"Korea, Republic of",27,134,361,,522,
Kuwait,,,3,,3,
Latvia,1,,,,1,
Lebanon,,4,7,,11,
Liberia,1,,,,1,
Lithuania,1,,,,1,
Macedonia,,2,1,,3,
Malaysia,13,3,2,,18,
Mali,,1,2,,3,
Mauritius,1,2,1,,4,
Mexico,27,42,48,,117,
Mongolia,1,,1,,2,
Morocco,2,2,1,,5,
Nepal,1,6,3,,10,
Netherlands,1,1,1,,3,
New Zealand,1,,,,1,
Nicaragua,5,1,,,6,
Niger,,,1,,1,
Nigeria,21,26,9,,56,
Norway,3,3,1,,7,
Oman,,,3,,3,
Other Foreign or US,,1,,,1,
Pakistan,8,15,9,,32,
Page 73,,,,,,
