Fall 2006,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
"Engineering        AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL RHEL RHEN SENG",,"36
40
64
68
9
8
3
4
66
83
12
11
52
123
19
21
7
6
4
21
64
23
42
1
55
79
8
16
12
9
35
33
4
7
1","263
197
68
75
117
77
64
61
166
163
2
183
115
186
445
176
244
4
145
103
7
105
269
85
134
3
401
514
62
101
41
84
161
141
4
6","3
5
1
1
4
1
6
4
2
1
2
4
5
3
2
1
10
2
9
2
1
10
1
2
1
3
1","6
7
3
1
10
3
7
1
9
5
8
9
3
7
17
10
3
2
1
2
4
3
6
7
10
5
1
1
8
4","17
6
11
9
7
1
3
3
27
17
1
4
24
13
11
4
4
4
1
4
12
5
12
9
8
4
1
2
1
3
7
4
1","61
30
14
11
28
8
13
11
25
18
15
22
47
47
49
39
1
14
21
7
16
16
33
67
66
8
10
5
11
27
17
1
2","2
2
11
11
3
2
9
6
3
3
3
6
6
1
5
2
7
2
4
2
3
1
1
1","10
6
15
17
10
6
13
10
12
8
1
14
6
4
21
25
24
8
9
3
3
8
5
15
28
2
7
4
5
14
9
1
2","1
1
1
1
1
1","1
1
1
2
1
2
1
2
1
2
1
1
5
3
1
1
1","1
6
2
8
1
9
5
1
43
1
29
32
2
48
1
1
1
1
3
23
1
23
5
1
24
8","7
59
4
32
1
42
3
37
11
89
7
112
5
2
157
7
275
9
4
2
4
3
1
3
9
96
11
224
1
21
29
135
20","1
2
1
1","1
2
1
1
1
1
2
2
1
1
2
2
2
3
6
2
3
1","59
54
94
97
21
20
10
13
110
154
1
44
19
81
176
44
82
1
13
12
6
26
93
37
93
4
67
124
14
25
16
13
68
49
10
9
1","348
299
105
138
168
137
101
120
226
285
10
334
161
244
680
274
595
14
4
176
139
11
119
298
121
274
3
509
851
80
140
51
131
348
193
6
10","407
353
199
235
189
157
111
133
336
439
11
378
180
325
856
318
677
14
5
189
151
17
145
391
158
367
7
576
975
94
165
67
144
416
242
16
19
1",
,Subtotal,"1,046","4,972",87,163,240,760,96,325,6,27,280,"1,422",5,34,"1,760","7,703",9463,
G. Bush,BUSH,25,18,3,1,6,3,2,2,,1,3,3,,,37,24,61,
School of,CAIA,11,16,,,,2,,,,,,,,,11,19,30,
Govt,CHLS,5,18,,,,1,,,,,,,,,5,20,25,
,INTA,24,41,,2,1,4,,,,1,1,5,,,28,55,83,
,Subtotal,65,93,3,3,7,10,2,2,,2,4,8,,,81,118,199,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,,,,,,,,
