Fall 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,474,1.1%,146,-10.4%,127,6.7%,,,747,-0.5%,
Gender,Female,170,-4.0%,65,-5.8%,44,2.3%,,,279,-3.5%,
,Male,304,4.1%,81,-13.8%,83,9.2%,,,468,1.3%,
Ethnicity,White,415,4.5%,97,-15.7%,44,7.3%,,,556,0.5%,
,Black,3,0.0%,1,-66.7%,2,100.0%,,,6,0.0%,
,Hispanic,37,-19.6%,10,66.7%,2,0.0%,,,49,-9.3%,
,Asian,12,-7.7%,,,1,-66.7%,,,13,-18.8%,
,American Indian,3,50.0%,1,0.0%,1,0.0%,,,5,25.0%,
,International,4,-33.3%,34,-2.9%,75,7.1%,,,113,1.8%,
,Unknown/Other,0,-100.0%,3,0.0%,2,0.0%,,,5,-28.6%,
TAMU Age,<18,2,100.0%,,,,,,,2,100.0%,
Categories,18-21,292,-1.0%,,,,,,,292,-1.0%,
,22-25,147,8.1%,81,-8.0%,8,60.0%,,,236,3.1%,
,26-30,20,0.0%,41,-2.4%,52,6.1%,,,113,1.8%,
,31-39,11,-26.7%,20,-20.0%,50,0.0%,,,81,-10.0%,
,40+,2,0.0%,4,-50.0%,17,13.3%,,,23,-8.0%,
Enrollment,1st Time in College,77,6.9%,,,,,,,77,6.9%,
Status,1st Time PB,2,100.0%,3,200.0%,,,,,5,150.0%,
,1st Time Graduate,,,50,16.3%,10,-16.7%,,,60,9.1%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,32,23.1%,,,,,,,32,23.1%,
,Readmitted,15,87.5%,0,-100.0%,1,100.0%,,,16,77.8%,
,Continuing,348,-3.9%,93,-21.2%,116,8.4%,,,557,-5.1%,
Tuition,Resident Tuition,442,1.6%,66,-10.8%,22,4.8%,,,530,0.0%,
Status,Non-Resident Tuition,14,40.0%,16,14.3%,17,6.3%,,,47,17.5%,
,Tuition  Exemption/Waiver,18,-25.0%,64,-14.7%,88,7.3%,,,170,-6.1%,
Residency,Texas Resident,448,0.9%,68,-8.1%,23,9.5%,,,539,0.0%,
Status,"Non-TX, US Resident",22,15.8%,44,-18.5%,29,11.5%,,,95,-4.0%,
,"Non-TX, Non-US Resident",4,-33.3%,34,-2.9%,75,4.2%,,,113,0.0%,
SCH,< 6 SCH,5,-16.7%,21,-36.4%,21,40.0%,,,47,-13.0%,
Categories,6-8 SCH,10,-9.1%,4,-50.0%,3,200.0%,,,17,-15.0%,
,9-11 SCH,25,-10.7%,118,0.0%,101,0.0%,,,244,-1.2%,
,12-14 SCH,208,10.1%,3,-25.0%,1,-50.0%,,,212,8.7%,
,15-17 SCH,208,-3.3%,,,1,100.0%,,,209,-2.8%,
,>17 SCH,18,-10.0%,,,,,,,18,-10.0%,
Ft/Pt:,Less Than Half Time,5,-16.7%,18,-35.7%,17,21.4%,,,40,-16.7%,
"TAMU
Status","Half-Time
Three-Quarter Time","10
25","-9.1%
-10.7%",3,-62.5%,2,100.0%,,,"15
25","-25.0%
-10.7%",
,Full-Time,434,2.4%,125,-1.6%,108,3.8%,,,667,1.8%,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,
