Texas A&M University,,,,,,,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,,,,,,,
Headcount by College by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,
Fall 2006,,,,,,,,,,,,,,,,,,
Office of Institutional Studies and Planning Official Certified 12th Class Day Data,,,,,,,,,,,,,,,,,,
"Fall 2006
Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Grand Total",International,,Black,,Am. Indian,,Asian,,Hispanic,,White,,Unknown/Other,,Grand Total,,"Total
6,333
1,836
4,964
5,352
9,463
199
747
6,883
3,041
2,543
3,617
402
45,380",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,158,185,82,103,21,24,76,69,314,271,"2,300","2,694",20,16,"2,971","3,362",,
,75,122,12,19,3,5,26,33,62,132,400,933,4,10,582,"1,254",,
,76,143,60,40,9,15,89,93,238,209,"2,079","1,887",8,18,"2,559","2,405",,
,93,45,170,72,13,6,58,30,417,168,"3,233","1,024",14,9,"3,998","1,354",,
,280,"1,422",87,163,6,27,96,325,240,760,"1,046","4,972",5,34,"1,760","7,703",,
,4,8,3,3,,2,2,2,7,10,65,93,,,81,118,,
,41,72,2,4,2,3,2,11,20,29,212,344,,5,279,468,,
,84,124,166,63,26,5,103,84,483,368,"3,172","2,166",16,23,"4,050","2,833",,
,115,236,68,26,8,8,124,141,194,161,"1,052",897,4,7,"1,565","1,476",,
,18,22,39,18,9,7,127,66,235,110,"1,306",576,7,3,"1,741",802,,
,11,6,74,74,12,17,52,83,248,250,"1,271","1,512",3,4,"1,671","1,946",,
,98,116,4,3,,,8,2,10,5,77,75,2,2,199,203,,
,"1,053","2,501",767,588,109,119,763,939,"2,468","2,473","16,213","17,173",83,131,"21,456","23,924",,
"Prepared by OISP, 28 Nov 06",,,,,,,,,,,,,,,,,,
