Top 10,,,,,,,,
Fall 2012  Feeder Patterns,,,,,,,,
New Graduate (College Station Campus),,,,,,,,
Texas County     Students   % Total,,,,,,,,
Harris,,301,,,10.8%,,,
Brazos,,130,,,4.7%,,,
Dallas,,74,,,2.7%,,,
Bexar,,70,,,2.5%,,,
Tarrant,,67,,,2.4%,,,
Fort Bend,,66,,,2.4%,,,
Montgomery,,47,,,1.7%,,,
Travis,,45,,,1.6%,,,
Collin,,42,,,1.5%,,,
Williamson,,31,,,1.1%,,,
State,Students   % Total,,,,,,,
Texas,1310,,,47.1%,,,,
California,47,,,1.7%,,,,
Illinois,21,,,0.8%,,,,
Ohio,18,,,0.6%,,,,
Florida,17,,,0.6%,,,,
Pennsylvania,15,,,0.5%,,,,
Georgia,15,,,0.5%,,,,
Michigan,14,,,0.5%,,,,
New York,14,,,0.5%,,,,
Tennessee,14,,,0.5%,,,,
Country,,,Students   % Total,,,,,
United States,,,1724,,,62.0%,,
"China, People's Rep of",,,413,,,14.8%,,
India,,,260,,,9.3%,,
"Korea, Republic of",,,87,,,3.1%,,
Taiwan,,,45,,,1.6%,,
Iran,,,38,,,1.4%,,
Turkey,,,23,,,0.8%,,
Mexico,,,14,,,0.5%,,
Colombia,,,12,,,0.4%,,
Saudi Arabia,,,10,,,0.4%,,
Page 138,,,,,,,,
