Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,,
Science,BIOL,4,2,,1,,7,2,2,47,47,56,
,CHEM,6,1,,6,,13,2,2,142,142,157,
,MATH,6,1,1,2,,10,9,9,76,76,95,
,PHYS,8,,1,2,,11,13,13,77,77,101,
,STAT,,,,,,,7,7,39,39,46,
,Subtotal,24,4,2,11,,41,33,33,381,381,455,
Veterinary Medicine,CLVM,,,1,2,,3,2,2,2,2,7,
,VIBS,,,,,,,6,6,13,13,19,
,VSCS,,,,,,,,,7,7,7,
,VTPB,,,,,,,1,1,5,5,6,
,VTPP,,,,,,,1,1,9,9,10,
,Subtotal,,,1,2,,3,10,10,36,36,49,
General Studies,GEST,11,5,,,,16,,,,,16,
,Subtotal,11,5,,,,16,,,,,16,
Other - Special,CLMD,,,,,,,1,1,,,1,
Populations,SABX,1,25,38,24,,88,25,25,,,113,
,,,,,,,,,,,,,
,SRPH,,,,,,,3,3,,,3,
,Subtotal,1,25,38,24,,88,29,29,,,117,
University,Total,81,118,185,264,1,649,"1,514","1,514","2,207","2,207","4,370",
"Prepared by DARS, 11 Dec 12",,,,,,,,,,,,,
