Fall 2012,,Undergrad uate,Masters,Doctoral,Profession al,Total
Geosciences,ATMO,137,24,35,,196
,CLGE,137,1,,,138
,GEOG,200,45,44,,289
,GEPL,279,77,61,,417
,OCNG,,18,62,,80
,Subtotal,753,165,202,,"1,120"
Liberal Arts,ANTH,211,35,94,,340
,CLLA,737,,,,737
,COMM,948,6,41,,995
,ECON,712,128,74,,914
,ENGL,643,17,76,,736
,EURO,49,,,,49
,HISP,68,1,40,,109
,HIST,650,10,63,,723
,PHUM,94,8,17,,119
,POLS,699,1,43,,743
,PRFM,68,7,,,75
,PSYC,"1,324",8,106,,"1,438"
,SOCI,460,11,81,,552
,Subtotal,"6,663",232,635,,"7,530"
Science,BIOL,"1,605",6,94,,"1,705"
,CHEM,345,7,275,,627
,CLSC,21,,,,21
,MATH,508,37,118,,663
,PHYS,218,22,162,,402
