Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Engineering,AERO,1,4,,3,,8,,,1,1,,,9
,BMEN,,,5,1,,6,,,2,2,,,8
,CHEN,1,2,4,12,,19,4,4,2,2,,,25
,CLEN,,,,,,,,,1,1,,,1
,CSCE,6,8,4,15,,33,,,4,4,,,37
,CVEN,6,3,4,8,,21,4,4,,,,,25
,ECEN,7,5,5,12,1,30,2,2,2,2,,,34
,ETID,3,4,8,20,,35,,,,,,,35
,ISEN,2,,4,15,,21,3,3,4,4,,,28
,MEEN,3,6,5,5,,19,3,3,4,4,,,26
,NUEN,3,1,2,4,,10,2,2,2,2,,,14
,PETE,1,4,6,7,,18,7,7,2,2,,,27
,Subtotal,33,37,47,102,1,220,25,25,24,24,,,269
"G. Bush School of Govt Geosciences
Liberal Arts",BUSH,,,,,,,21,21,,,,,21
,Subtotal,,,,,,,21,21,,,,,21
,ATMO,1,2,1,2,,6,1,1,,,,,7
,CLGE,2,,,,,2,,,,,,,2
,GEOG,,2,2,2,,6,,,,,,,6
,GEPL,2,,,1,,3,3,3,,,,,6
,OCNG,,,,,,,,,1,1,,,1
,Subtotal,5,4,3,5,,17,4,4,1,1,,,22
,ANTH,1,,2,2,,5,,,5,5,,,10
,CLLA,4,6,8,19,,37,,,,,,,37
,COMM,8,6,11,9,,34,1,1,3,3,,,38
,ECON,4,5,4,12,,25,2,2,,,,,27
,ENGL,2,2,6,10,,20,,,2,2,,,22
,EURO,,,,2,,2,,,,,,,2
,HISP,1,,,,,1,,,,,,,1
,HIST,7,3,3,4,,17,,,,,,,17
,PHUM,,1,,1,,2,,,,,,,2
,POLS,5,6,7,9,,27,,,2,2,,,29
,PRFM,2,1,1,,,4,2,2,,,,,6
,PSYC,13,12,21,21,,67,1,1,2,2,,,70
,SOCI,10,12,11,22,,55,3,3,16,16,,,74
,Subtotal,57,54,74,111,,296,9,9,30,30,,,335
