Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,
Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
"Engineering                        PETL RHEL RHEN SENG
Subtotal",,1,2,3,1,,7,,,,,,,7,
,,1,,,,,1,,,,,,,1,
,,,,1,,,1,,,,,,,1,
,,,,,,,,1,1,,,,,1,
,,33,37,47,102,1,220,25,25,24,24,,,269,
"G. Bush School of Govt
Geosciences",CAIA,,,,,,,6,6,,,,,6,
,"CHLS CNPM INTA PSAA
Subtotal ATMO ENGS ENST GEOG GEOL GEOP METR OCNG
Subtotal",,,,,,,1,1,,,,,1,
,,,,,,,,4,4,,,,,4,
,,,,,,,,3,3,,,,,3,
,,,,,,,,7,7,,,,,7,
,,,,,,,,21,21,,,,,21,
,,,,,,,,1,1,,,,,1,
,,2,,,,,2,,,,,,,2,
,,,1,2,,,3,,,,,,,3,
,,,1,,2,,3,,,,,,,3,
,,1,,,1,,2,3,3,,,,,5,
,,1,,,,,1,,,,,,,1,
,,1,2,1,2,,6,,,,,,,6,
,,,,,,,,,,1,1,,,1,
,,5,4,3,5,,17,4,4,1,1,,,22,
