Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Engineering,SENG,,,,,,,1,1,,,,,1
,Subtotal,97,98,101,229,1,526,70,70,49,49,,,645
G. Bush School of Govt,CAIA,,,,,,,2,2,,,,,2
,INTA,,,,,,,7,7,,,,,7
,PSAA,,,,,,,3,3,,,,,3
,Subtotal,,,,,,,12,12,,,,,12
Geosciences,ENGS,,,1,2,,3,,,,,,,3
,ENST,,,2,,,2,,,,,,,2
,GEOG,,,,,,,,,1,1,,,1
,GEOL,,3,1,4,,8,1,1,1,1,,,10
,GEOP,3,1,,2,,6,3,3,1,1,,,10
,METR,1,,1,1,,3,,,,,,,3
,OCNG,,,,,,,1,1,,,,,1
,Subtotal,4,4,5,9,,22,5,5,3,3,,,30
Liberal Arts,ANTH,1,5,,2,,8,,,5,5,,,13
,COMM,5,3,4,2,1,15,,,2,2,,,17
,ECON,8,7,16,21,,52,4,4,1,1,,,57
,ENGL,1,,6,8,,15,1,1,1,1,,,17
,HIST,,2,6,1,,9,,,,,,,9
,INTS,4,9,5,7,,25,,,,,,,25
,MODL,,,,1,,1,,,,,,,1
,MUSC,1,,1,1,,3,,,,,,,3
,NRSC,,,,,,,,,1,1,,,1
,PHIL,,1,1,2,,4,,,,,,,4
,POLS,4,5,10,12,,31,,,1,1,,,32
,PSYC,5,4,21,27,,57,,,6,6,,,63
,SOCI,2,1,3,11,,17,,,1,1,,,18
,TCMS,,,,3,,3,,,,,,,3
,USLA,,,,1,,1,,,,,,,1
,WGST,,,1,,,1,,,,,,,1
,Subtotal,31,37,74,99,1,242,5,5,18,18,,,265
