Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Engineering,AERL,8,5,,,,13,,,,,,,13
,AERO,,2,5,8,,15,,,1,1,,,16
,BMEL,13,4,,,,17,,,,,,,17
,BMEN,,2,1,24,,27,4,4,6,6,,,37
,CECL,9,4,5,2,,20,,,,,,,20
,CECN,,3,2,7,,12,2,2,2,2,,,16
,CEEL,7,3,,2,,12,,,,,,,12
,CEEN,,3,3,2,,8,2,2,1,1,,,11
,CHEL,5,3,,,,8,,,,,,,8
,CHEN,,10,14,31,,55,,,2,2,,,57
,CPSC,,3,6,12,,21,4,4,2,2,,,27
,CPSL,5,7,2,,,14,,,,,,,14
,CVEL,6,3,,,,9,,,,,,,9
,CVEN,1,2,6,9,,18,7,7,5,5,,,30
,ELEL,21,9,5,,,35,,,,,,,35
,ELEN,,9,11,45,,65,13,13,9,9,,,87
,ENGR,,,,,,,,,3,3,,,3
,ENTC,,,1,12,,13,,,,,,,13
,ENTL,1,4,5,3,,13,,,,,,,13
,IDIL,,1,1,,,2,,,,,,,2
,IDIS,,,1,7,,8,1,1,,,,,9
,INEL,2,1,,1,,4,,,,,,,4
,INEN,,3,4,24,1,32,6,6,2,2,,,40
,ITDE,,,,,,,,,1,1,,,1
,MEEL,7,1,1,1,,10,,,,,,,10
,MEEN,,3,12,20,,35,8,8,6,6,,,49
,MSEN,,,,,,,6,6,1,1,,,7
,NUEL,5,3,,,,8,,,,,,,8
,NUEN,,2,2,3,,7,,,3,3,,,10
,OCEN,,1,2,,,3,3,3,1,1,,,7
,PETE,,2,10,13,,25,13,13,4,4,,,42
,PETL,6,4,1,,,11,,,,,,,11
,RHEL,1,1,,,,2,,,,,,,2
,RHEN,,,1,3,,4,,,,,,,4
