Fall 2012,,Undergrad uate,Masters,Doctoral,Profession al,Total
Business Admin,ACCT,695,130,17,,842
,AGBU,5,,,,5
,BHNR,136,,,,136
,BUAD,"1,768",132,,,"1,900"
,BUAG,20,,,,20
,EMBA,,102,,,102
,FINC,520,88,14,,622
,INFO,465,,11,,476
,MGMT,255,56,20,,331
,MISY,,188,,,188
,MKTG,352,54,9,,415
,MLER,,57,,,57
,PMBA,,36,,,36
,USBU,154,,,,154
,Subtotal,"4,370",843,71,,"5,284"
