Fall 2012,,Undergraduate,,,,,,Masters,,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Education,SPMT,,1,13,105,1,120,,40,40,,,,,160
,SPSY,,,,,,,,,,15,15,,,15
,TCMG,,,2,23,,25,,,,,,,,25
,TCML,4,10,23,16,,53,,,,,,,,53
,TECR,,,,,5,5,,,,,,,,5
,USEH,,,1,1,,2,,,,,,,,2
,Subtotal,452,641,848,"1,367",9,"3,317",,369,369,295,295,,,"3,981"
Engineering,AERL,130,55,9,,,194,,,,,,,,194
,AERO,2,37,62,147,1,249,,39,39,38,38,,,326
,BIOT,,,,,,,,7,7,,,,,7
,BMEL,80,19,3,,1,103,,,,,,,,103
,BMEN,,26,43,99,,168,,11,11,37,37,,,216
,CECL,70,42,16,2,,130,,,,,,,,130
,CECN,,7,25,60,,92,,2,2,5,5,,,99
,CEEL,37,24,6,,,67,,,,,,,,67
,CEEN,,7,19,35,,61,,2,2,6,6,,,69
,CHEL,73,39,11,1,1,125,,,,,,,,125
,CHEN,,43,51,203,,297,,2,2,19,19,,,318
,CPSC,,20,56,87,1,164,,18,18,25,25,,,207
,CPSL,54,47,23,7,1,132,,,,,,,,132
,CVEL,116,57,8,,,181,,,,,,,,181
,CVEN,2,65,119,240,4,430,,80,80,25,25,,,535
,ELEL,122,68,34,7,1,232,,,,,,,,232
,ELEN,,37,68,125,2,232,,17,17,30,30,,,279
,ENGR,,,,,,,,,,2,2,,,2
,ENSM,,,,,,,,7,7,,,,,7
,ENTC,,1,23,136,1,161,,,,,,,,161
,ENTL,15,33,46,18,,112,,,,,,,,112
,HLPH,,,,,,,,8,8,,,,,8
,IDIL,23,34,44,7,,108,,,,,,,,108
,IDIS,,10,77,228,2,317,,30,30,,,,,347
,INEL,51,28,21,2,,102,,,,,,,,102
,INEN,1,28,69,188,2,288,,17,17,6,6,,,311
,MEEL,185,65,23,5,,278,,,,,,,,278
,MEEN,1,96,155,338,1,591,,54,54,47,47,,,692
,MSEN,,,,,,,,2,2,16,16,,,18
