Fall 2012,,Undergraduate,,,,,,Masters,,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Business Admin,ACCT,,8,220,293,,521,,101,101,13,13,,,635
,AGBU,,,2,2,,4,,,,,,,,4
,BHNR,,1,55,56,,112,,,,,,,,112
,BUAD,571,644,119,2,,"1,336",,61,61,,,,,"1,397"
,BUAG,10,3,1,,,14,,,,,,,,14
,EMBA,,,,,,,,59,59,,,,,59
,FINC,,2,158,237,,397,,74,74,2,2,,,473
,INFO,,2,131,199,,332,,,,1,1,,,333
,MGMT,,2,69,124,,195,,42,42,11,11,,,248
,MISY,,,,,,,,47,47,,,,,47
,MKTG,,3,123,169,,295,,34,34,3,3,,,332
,MLER,,,,,,,,51,51,,,,,51
,PMBA,,,,,,,,25,25,,,,,25
,USBU,,4,41,72,,117,,,,,,,,117
,Subtotal,581,669,919,"1,154",,"3,323",,494,494,30,30,,,"3,847"
Education,ATTR,,,,,,,,8,8,,,,,8
,BIED,,,,,,,,2,2,,,,,2
,CPSY,,,,,,,,,,9,9,,,9
,EDAD,,,,,,,,34,34,79,79,,,113
,EDCI,,,,,,,,144,144,81,81,,,225
,EDHL,101,165,205,69,,540,,,,,,,,540
,EDIS,153,181,135,26,,495,,,,,,,,495
,EDKI,135,166,191,53,,545,,,,,,,,545
,EDSM,38,66,81,29,,214,,,,,,,,214
,EDTC,,,,,,,,5,5,,,,,5
,EHRD,,,,,,,,42,42,34,34,,,76
,EPSY,,,,,,,,21,21,36,36,,,57
,GENE,,,,,,,,,,1,1,,,1
,HEED,,,,,,,,27,27,6,6,,,33
,HLTH,,,4,174,2,180,,,,,,,,180
,HRDL,14,21,39,22,,96,,,,,,,,96
,HRDV,,,5,64,,69,,,,,,,,69
,INST,7,31,143,596,,777,,,,,,,,777
,KINE,,,6,189,1,196,,21,21,34,34,,,251
,NUTR,,,,,,,,2,2,,,,,2
,SPED,,,,,,,,23,23,,,,,23
