Fall 2012,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Liberal Arts,ANTH,224,1,13,10,67,,12,12,1,340
,CLSS,14,,,,3,,,,,17
,COMM,615,2,17,29,110,1,23,7,4,808
,ECON,510,1,57,27,109,,15,189,6,914
,ENGL,511,5,17,22,142,1,15,21,2,736
,HISP,9,,,,21,,,9,1,40
,HIST,556,3,9,17,111,,18,5,4,723
,INTS,452,2,25,31,167,1,17,5,2,702
,MODL,24,,1,2,5,,,1,,33
,MUSC,15,,3,1,5,,1,,,25
,NRSC,12,,1,1,3,,,4,,21
,PERF,3,,,2,1,,,,1,7
,PHIL,80,,4,2,26,,6,,1,119
,POLS,485,4,32,29,157,,19,13,4,743
,PSYC,927,3,63,69,311,1,21,19,3,"1,417"
,SOCI,286,3,18,74,143,1,11,14,2,552
,SPAN,26,,,1,41,,,,,68
,TCMS,132,,3,9,35,,6,1,1,187
,THAR,29,,,3,9,,2,,,43
,USLA,11,,1,2,3,,,,,17
,WGST,6,,1,4,7,,,,,18
,Subtotal,"4,927",24,265,335,"1,476",5,166,300,32,"7,530"
Science,APHY,7,1,,,2,,1,1,,12
,APMS,124,,18,8,32,,9,5,2,198
,BIOL,715,4,200,45,358,3,30,45,1,"1,401"
,BMCB,50,1,16,3,27,,6,1,1,105
,BOTN,1,,,,1,,,,,2
,CHEM,291,3,56,15,88,,12,157,5,627
,GENE,2,,,,,,,,,2
,MATH,245,,11,7,91,1,17,90,3,465
,MBIO,59,,7,4,22,,4,9,,105
,MSEN,,,,,,,1,,,1
,PHYS,190,2,19,7,54,,15,100,2,389
,STAT,84,,16,4,5,,2,46,5,162
,USSC,16,,1,1,3,,,,,21
,ZOOL,63,,3,4,16,,3,1,,90
