Fall 2012,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
G. Bush School,CAIA,6,25,,,1,1,2,4,1,4,,,1,,,,,,11,34,45,
of Govt,CHLS,4,12,,1,,,1,,1,1,,,,1,,,,,6,15,21,
CNPM,,11,6,,,,,3,1,4,2,,,1,,,,,,19,9,28,
INTA,,41,71,,,4,3,2,1,6,9,,,3,3,6,6,,,62,93,155,
PSAA,,36,35,2,,2,1,3,4,6,6,,,1,1,14,10,,1,64,58,122,
Subtotal,,98,149,2,1,7,5,11,10,18,22,,,6,5,20,16,,1,162,209,371,
Geosciences,ATMO,11,24,,,,,,1,,2,,,,,5,16,,,16,43,59,
ENGS,,54,51,,1,1,2,1,1,10,9,,,,2,1,2,,,67,68,135,
ENST,,40,37,1,,2,,1,2,11,9,,,2,,,1,1,,58,49,107,
GEOG,,32,68,,1,1,,2,1,9,13,,,,3,6,13,,,50,99,149,
GEOL,,62,147,,,2,8,4,1,15,18,,,,6,18,23,1,1,102,204,306,
GEOP,,5,51,,,4,6,1,,1,10,,,1,,6,18,1,,19,85,104,
GEOS,,1,1,,,,,,,1,,,,,1,,1,,,2,3,5,
MARB,,3,,,,,,,,,,,,,,,,,,3,,3,
METR,,40,56,,,2,1,2,4,14,14,,,1,2,1,,,,60,77,137,
OCNG,,26,16,1,,,1,1,,2,2,,,,,10,16,,1,40,36,76,
SPSG,,1,4,,,,,,,,,,,,,,,,,1,4,5,
USGE,,1,1,,,,,,,,,,,,,,,,,1,1,2,
WMHS,,3,12,,,,,,,,1,,,1,,8,7,,,12,20,32,
Subtotal,,279,468,2,2,12,18,12,10,63,78,,,5,14,55,97,3,2,431,689,"1,120",
Liberal Arts,ANTH,143,81,1,,8,5,7,3,45,22,,,8,4,6,6,1,,219,121,340,
CLSS,,7,7,,,,,,,2,1,,,,,,,,,9,8,17,
COMM,,503,112,2,,14,3,19,10,82,28,,1,20,3,6,1,4,,650,158,808,
ECON,,116,394,,1,13,44,9,18,25,84,,,4,11,89,100,2,4,258,656,914,
ENGL,,380,131,4,1,10,7,18,4,104,38,1,,11,4,14,7,2,,544,192,736,
HISP,,6,3,,,,,,,15,6,,,,,2,7,,1,23,17,40,
HIST,,194,362,1,2,3,6,8,9,50,61,,,8,10,2,3,2,2,268,455,723,
INTS,,267,185,2,,17,8,18,13,113,54,1,,8,9,5,,1,1,432,270,702,
MODL,,15,9,,,1,,1,1,4,1,,,,,,1,,,21,12,33,
MUSC,,6,9,,,2,1,,1,3,2,,,1,,,,,,12,13,25,
NRSC,,4,8,,,1,,,1,2,1,,,,,3,1,,,10,11,21,
PERF,,1,2,,,,,2,,,1,,,,,,,1,,4,3,7,
PHIL,,20,60,,,1,3,1,1,8,18,,,2,4,,,,1,32,87,119,
POLS,,174,311,1,3,13,19,16,13,65,92,,,8,11,8,5,2,2,287,456,743,
PSYC,,713,214,3,,33,30,49,20,240,71,1,,14,7,7,12,3,,"1,063",354,"1,417",
SOCI,,196,90,2,1,13,5,43,31,99,44,1,,7,4,10,4,1,1,372,180,552,
SPAN,,21,5,,,,,1,,25,16,,,,,,,,,47,21,68,
TCMS,,88,44,,,1,2,7,2,19,16,,,4,2,,1,,1,119,68,187,
THAR,,21,8,,,,,2,1,6,3,,,1,1,,,,,30,13,43,
USLA,,7,4,,,,1,1,1,1,2,,,,,,,,,9,8,17,
WGST,,6,,,,1,,4,,7,,,,,,,,,,18,,18,
Subtotal,,"2,888","2,039",16,8,131,134,206,129,915,561,4,1,96,70,152,148,19,13,"4,427","3,103","7,530",
Page 87,,,,,,,,,,,,,,,,,,,,,,,
