Fall 2012,,Undergraduate,,,,,,Masters,,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
G. Bush School of Govt,CAIA,,,,,,,,5,5,,,,,5
,CHLS,,,,,,,,2,2,,,,,2
,CNPM,,,,,,,,6,6,,,,,6
,INTA,,,,,,,,15,15,,,,,15
,PSAA,,,,,,,,12,12,,,,,12
,Subtotal,,,,,,,,40,40,,,,,40
Geosciences,ATMO,,,,,,,,1,1,1,1,,,2
,ENGS,6,3,6,4,,19,,,,,,,,19
,ENST,5,4,5,6,,20,,,,,,,,20
,GEOG,1,2,4,7,,14,,6,6,2,2,,,22
,GEOL,6,4,6,15,,31,,1,1,1,1,,,33
,GEOP,5,,2,2,,9,,1,1,1,1,,,11
,GEOS,,,,,,,,1,1,,,,,1
,METR,8,3,7,9,1,28,,,,,,,,28
,OCNG,,,,,,,,3,3,1,1,,,4
,WMHS,,,,,,,,1,1,,,,,1
,Subtotal,31,16,30,43,1,121,,14,14,6,6,,,141
Liberal Arts,ANTH,9,9,21,23,,62,,,,5,5,,,67
,CLSS,,2,,1,,3,,,,,,,,3
,COMM,13,29,29,34,,105,,,,5,5,,,110
,ECON,15,15,43,34,,107,,2,2,,,,,109
,ENGL,18,29,34,51,,132,,1,1,9,9,,,142
,HISP,,,,,,,,,,21,21,,,21
,HIST,15,20,25,42,,102,,1,1,8,8,,,111
,INTS,16,38,45,67,1,167,,,,,,,,167
,MODL,2,,1,1,,4,,1,1,,,,,5
,MUSC,1,1,2,1,,5,,,,,,,,5
,NRSC,,,,,,,,,,3,3,,,3
,PERF,,,,,,,,1,1,,,,,1
,PHIL,3,8,4,6,,21,,2,2,3,3,,,26
,POLS,40,37,39,38,,154,,,,3,3,,,157
,PSYC,49,60,74,113,,296,,,,15,15,,,311
,SOCI,20,20,20,50,,110,,4,4,29,29,,,143
,SPAN,3,10,8,20,,41,,,,,,,,41
,TCMS,7,10,11,7,,35,,,,,,,,35
,THAR,1,3,1,4,,9,,,,,,,,9
,USLA,,,1,2,,3,,,,,,,,3
,WGST,1,,2,4,,7,,,,,,,,7
,Subtotal,213,291,360,498,1,"1,363",,12,12,101,101,,,"1,476"
