Ethnicity American Indian Only (NEW),,,,,,,,,,,,,,
Fall 2012,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
"Agriculture                  AGEC ALEC ANSC BAEN BCBP ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal",,,1,,1,2,,,,,,,2,
,,,2,2,5,9,,,,,,,9,
,,,3,2,2,7,,,,,,,7,
,,,,,1,1,,,,,,,1,
,,,,,1,1,,,1,1,,,2,
,,,1,,1,2,,,,,,,2,
,,,,,1,1,,,,,,,1,
,,,,,1,1,,,,,,,1,
,,,1,,,1,,,,,,,1,
,,,,,1,1,,,,,,,1,
,,,,1,,1,,,,,,,1,
,,,,1,,1,,,,,,,1,
,,,,,1,1,,,,,,,1,
,,,,,,,1,1,,,,,1,
,,,8,6,15,29,1,1,1,1,,,31,
"Architecture
Business Admin
Education",ARCH,,,,,,,,1,1,,,1,
,"COSC VIZA
Subtotal CLBA FINC INFO
Subtotal EAHR HLKN TLAC
Subtotal",,,1,2,3,,,,,,,3,
,,,,,1,1,,,,,,,1,
,,,,1,3,4,,,1,1,,,5,
,,2,1,,1,4,1,1,,,,,5,
,,,,,1,1,,,,,,,1,
,,,,,2,2,,,,,,,2,
,,2,1,,4,7,1,1,,,,,8,
,,,,,1,1,,,2,2,,,3,
,,,,2,1,3,,,,,,,3,
,,1,,,1,2,2,2,1,1,,,5,
,,1,,2,3,6,2,2,3,3,,,11,
