Fall 2012,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,
Headcount Total,535,576,"1,111",5,3,8,19,32,51,24,20,44,135,164,299,,2,2,19,17,36,2,3,5,1,2,3,740,819,
"TAMU Age           <18
Categories",2,,2,,,,1,1,2,1,,1,1,,1,,,,1,,1,1,,1,,,,7,1,
18-21,533,576,"1,109",5,3,8,18,31,49,23,20,43,134,164,298,,2,2,18,17,35,1,3,4,1,2,3,733,818,
22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification      Freshman,508,559,"1,067",5,3,8,19,30,49,24,19,43,127,157,284,,2,2,18,17,35,2,3,5,1,2,3,704,792,
Sophomore,27,17,44,,,,,2,2,,1,1,6,3,9,,,,1,,1,,,,,,,34,23,
Junior,,,,,,,,,,,,,2,4,6,,,,,,,,,,,,,2,4,
Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status     Resident Tuition,494,527,"1,021",5,2,7,18,31,49,24,19,43,127,151,278,,2,2,16,11,27,,1,1,1,2,3,685,746,
Non-Resident Tuition,11,10,21,,,,1,,1,,1,1,4,1,5,,,,,1,1,2,2,4,,,,18,15,
Tuition Exemption/Waiver,30,39,69,,1,1,,1,1,,,,4,12,16,,,,3,5,8,,,,,,,37,58,
Residency            Texas Resident Status,521,548,"1,069",5,2,7,18,31,49,24,19,43,130,160,290,,2,2,19,14,33,,1,1,1,2,3,718,779,
"Non-TX, US Resident",14,27,41,,1,1,1,,1,,1,1,4,4,8,,,,,3,3,,,,,,,19,36,
"Non-TX, Non-US Resident",,1,1,,,,,1,1,,,,1,,1,,,,,,,2,2,4,,,,3,4,
SCH Categories  < 6 SCH,342,353,695,3,3,6,12,18,30,11,6,17,75,60,135,,1,1,10,11,21,,,,1,1,2,454,453,
6-8 SCH,9,19,28,,,,,,,,,,,4,4,,,,1,,1,,,,,,,10,23,
9-11 SCH,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,
12-14 SCH,146,154,300,1,,1,6,10,16,9,11,20,45,85,130,,1,1,7,6,13,1,1,2,,1,1,215,269,
15-17 SCH,36,50,86,1,,1,1,4,5,4,3,7,15,14,29,,,,1,,1,1,,1,,,,59,71,
>17 SCH,,,,,,,,,,,,,,1,1,,,,,,,,2,2,,,,,3,
"Ft/Pt:  TAMU     Less Than Half Time
Status",342,353,695,3,3,6,12,18,30,11,6,17,75,60,135,,1,1,10,11,21,1,,1,1,1,2,455,453,
Half-Time,11,19,30,,,,,,,,,,,4,4,,,,1,,1,,1,1,,,,12,24,
Full-Time,182,204,386,2,,2,7,14,21,13,14,27,60,100,160,,1,1,8,6,14,1,2,3,,1,1,273,342,
Top 10% Texas   No High School,481,531,"1,012",5,3,8,17,24,41,16,14,30,112,116,228,,2,2,18,14,32,2,3,5,1,2,3,652,709,
Yes,54,45,99,,,,2,8,10,8,6,14,23,48,71,,,,1,3,4,,,,,,,88,110,
"First                      No
Generation",414,480,894,2,3,5,11,15,26,11,12,23,74,72,146,,1,1,11,14,25,,1,1,,2,2,523,600,
Unknown,6,6,12,,,,2,2,4,1,1,2,4,4,8,,,,,,,2,2,4,1,,1,16,15,
Yes,115,90,205,3,,3,6,15,21,12,7,19,57,88,145,,1,1,8,3,11,,,,,,,201,204,
"Dorm / Off-         Off-campus
campus",396,329,725,4,2,6,17,17,34,13,12,25,85,62,147,,1,1,13,7,20,1,2,3,1,2,3,530,434,
students               Dorm (On-campus),139,247,386,1,1,2,2,15,17,11,8,19,50,102,152,,1,1,6,10,16,1,1,2,,,,210,385,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
