Fall 2012,,Undergrad uate,Masters,Doctoral,Profession al,Total
Agriculture,ABME,,,2,,2
,ADEV,,21,,,21
,AGBL,153,,,,153
,AGBU,147,43,,,190
,AGCJ,309,,,,309
,AGEC,277,32,60,,369
,AGLS,121,,,,121
,AGRO,130,16,9,,155
,AGSC,118,,,,118
,AGSM,144,4,,,148
,ALEC,,71,60,,131
,ALED,583,,,,583
,ANBR,,7,5,,12
,ANSC,884,48,24,,956
,BAEN,227,40,43,,310
,BESC,222,,,,222
,BICH,228,5,106,,339
,BIOT,,8,,,8
,CDEV,30,,,,30
,ECOR,28,,,,28
,ENST,43,,,,43
,ENTO,70,13,42,,125
,FISC,,2,,,2
,FIVL,101,,,,101
,FIVS,36,,,,36
