Country,Undergraduate,Masters,PhD,Professional,Total Students,
Philippines,,3,12,,15,
Poland,,1,1,,2,
Portugal,,,1,,1,
Qatar,2,2,5,,9,
Romania,2,,2,,4,
Russia,3,8,8,,19,
Rwanda,,,1,,1,
Saudi Arabia,29,21,13,,63,
Serbia,,1,2,,3,
Sierra Leone,,1,,,1,
Singapore,7,11,5,,23,
Slovakia,,,1,,1,
South Africa,2,2,3,,7,
Spain,8,1,2,,11,
Sri Lanka (Ceylon),4,1,10,,15,
Sudan,,1,,,1,
Sweden,3,,1,,4,
Switzerland,3,,,,3,
Syria,2,,1,,3,
Taiwan,4,52,146,,202,
Tanzania,1,,1,,2,
Thailand,1,13,25,,39,
Trinidad & Tobago,3,,1,,4,
Tunisia,1,2,,,3,
Turkey,1,40,61,,102,
Turkmenistan,1,,,,1,
Uganda,1,1,1,,3,
Ukraine,,1,4,,5,
United Arab Emirates,16,10,3,,29,
United Kingdom,14,1,4,,19,
United States,"39,431","3,799","2,016",527,"45,773",
Uruguay,,1,,,1,
Uzbekistan,,2,2,,4,
Venezuela,6,12,5,,23,
Viet Nam Socialist Republi,22,10,13,,45,
Wales,,,1,,1,
Zambia,,,1,,1,
Zimbabwe (Rhodesia),,,2,,2,
Page 141,,,,,,
