Fall 2012,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Education,Subtotal,"3,981",11,125,326,895,2,103,185,10,"5,638"
Engineering,AERL,194,,13,4,81,,15,6,,313
,AERO,326,2,16,5,60,,7,48,5,469
,BIOT,7,,,1,2,,,16,1,27
,BMEL,103,,17,1,41,,6,1,,169
,BMEN,216,1,37,7,42,,11,37,4,355
,CECL,130,,20,7,62,1,5,2,,227
,CECN,99,2,16,5,19,,1,79,,221
,CEEL,67,,12,3,37,,1,6,1,127
,CEEN,69,,11,5,14,1,4,90,1,195
,CHEL,125,1,8,6,29,,8,2,,179
,CHEN,318,1,57,16,69,1,11,100,4,577
,CPSC,207,1,27,15,35,1,6,138,5,435
,CPSL,132,1,14,10,45,,4,9,1,216
,CVEL,181,,9,6,57,,4,2,,259
,CVEN,535,1,30,16,115,1,5,213,2,918
,ELEL,232,1,35,12,83,,11,25,1,400
,ELEN,279,,87,14,106,2,16,393,5,902
,ENGR,2,,3,,1,,,,,6
,ENSM,7,,,3,2,,,1,,13
,ENTC,161,,13,11,50,,6,3,,244
,ENTL,112,,13,11,61,,1,6,1,205
,HLPH,8,,,2,,,,1,,11
,IDIL,108,1,2,2,14,,6,1,,134
,IDIS,347,1,9,11,66,,5,8,1,448
,INEL,102,1,4,4,40,,2,16,,169
,INEN,311,1,40,21,108,2,11,189,5,688
,ITDE,,,1,1,,,,,,2
,MEEL,278,1,10,7,68,,11,6,1,382
,MEEN,692,4,49,19,114,1,10,275,4,"1,168"
,MSEN,18,,7,1,1,,,72,1,100
,NUEL,55,,8,2,22,,6,2,,95
,NUEN,186,,10,8,35,,4,44,2,289
,OCEL,24,1,,1,5,,1,4,,36
,OCEN,67,1,7,2,17,2,4,48,,148
,PETE,396,3,42,20,77,,8,240,9,795
