Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Engineering,AERO,8,7,5,8,,28,,,1,1,,,29
,BMEN,13,6,1,24,,44,5,5,7,7,,,56
,CHEN,5,13,14,31,,63,2,2,2,2,,,67
,CLEN,,,,,,,,,4,4,,,4
,CSCE,14,17,15,21,,67,6,6,4,4,,,77
,CVEN,7,6,8,9,,30,10,10,6,6,,,46
,ECEN,28,24,19,49,,120,15,15,10,10,,,145
,ETID,1,5,8,22,,36,1,1,,,,,37
,ISEN,2,4,4,25,1,36,6,6,2,2,,,44
,MEEN,7,4,13,21,,45,12,12,6,6,,,63
,NUEN,6,6,3,6,,21,,,3,3,,,24
,PETE,6,6,11,13,,36,13,13,4,4,,,53
,Subtotal,97,98,101,229,1,526,70,70,49,49,,,645
"G. Bush School of Govt Geosciences
Liberal Arts",BUSH,,,,,,,12,12,,,,,12
,Subtotal,,,,,,,12,12,,,,,12
,ATMO,1,,1,1,,3,,,,,,,3
,CLGE,,,1,2,,3,,,,,,,3
,GEOG,,,2,,,2,,,1,1,,,3
,GEPL,3,4,1,6,,14,4,4,2,2,,,20
,OCNG,,,,,,,1,1,,,,,1
,Subtotal,4,4,5,9,,22,5,5,3,3,,,30
,ANTH,1,5,,2,,8,,,5,5,,,13
,CLLA,4,9,6,8,,27,,,,,,,27
,COMM,5,3,4,5,1,18,,,2,2,,,20
,ECON,8,7,16,21,,52,4,4,1,1,,,57
,ENGL,1,,6,8,,15,1,1,1,1,,,17
,EURO,,,,1,,1,,,,,,,1
,HIST,,2,6,1,,9,,,,,,,9
,PHUM,,1,1,2,,4,,,,,,,4
,POLS,4,5,10,12,,31,,,1,1,,,32
,PRFM,1,,1,1,,3,,,,,,,3
,PSYC,5,4,21,27,,57,,,7,7,,,64
,SOCI,2,1,3,11,,17,,,1,1,,,18
,Subtotal,31,37,74,99,1,242,5,5,18,18,,,265
