Fall 2012,,Undergrad uate,Masters,Doctoral,Profession al,Total
Engineering,ENTL,205,,,,205
,HLPH,,11,,,11
,IDIL,134,,,,134
,IDIS,408,40,,,448
,INEL,169,,,,169
,INEN,472,160,56,,688
,ITDE,,,2,,2
,MEEL,382,,,,382
,MEEN,752,157,259,,"1,168"
,MSEN,,12,88,,100
,NUEL,94,1,,,95
,NUEN,160,60,69,,289
,OCEL,36,,,,36
,OCEN,84,42,22,,148
,PETE,450,231,114,,795
,PETL,276,,,,276
,RHEL,22,,,,22
,RHEN,46,,,,46
,SENG,,12,,,12
,USEN,2,,,,2
,WMHS,,,1,,1
,Subtotal,"8,397","1,375","1,509",,"11,281"
