Fall 2012,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Engineering,AERO,,,1,3,4,,,1,1,,,5
,BIOT,,,,,,1,1,,,,,1
,BMEN,,1,1,,2,1,1,1,1,,,4
,CEEL,,1,,,1,,,,,,,1
,CEEN,,,,,,,,1,1,,,1
,CHEN,,1,1,2,4,,,,,,,4
,CPSC,,,,,,2,2,3,3,,,5
,CPSL,1,,,,1,,,,,,,1
,CVEN,,,,1,1,,,1,1,,,2
,ELEL,,1,,,1,,,,,,,1
,ELEN,,,,1,1,,,4,4,,,5
,ENTL,,,1,,1,,,,,,,1
,IDIS,,,,,,1,1,,,,,1
,INEN,,,2,2,4,1,1,,,,,5
,MEEL,1,,,,1,,,,,,,1
,MEEN,,,,3,3,1,1,,,,,4
,MSEN,,,,,,1,1,,,,,1
,NUEN,,,,1,1,,,1,1,,,2
,PETE,,,2,,2,5,5,2,2,,,9
,SENG,,,,,,1,1,,,,,1
,Subtotal,2,4,8,13,27,14,14,14,14,,,55
G. Bush School of Govt Geosciences,PSAA,,,,,,1,1,,,,,1
,Subtotal,,,,,,1,1,,,,,1
,ENST,1,,,,1,,,,,,,1
,GEOL,,1,,,1,,,1,1,,,2
,GEOP,,,,,,,,1,1,,,1
,OCNG,,,,,,,,1,1,,,1
,Subtotal,1,1,,,2,,,3,3,,,5
