Fall 2012,,Undergrad uate,Masters,Doctoral,Profession al,Total
Agriculture,FORS,22,7,10,,39
,FSTC,126,28,15,,169
,GENE,99,6,36,,141
,HORT,175,16,17,,208
,MEPS,,4,21,,25
,NRDV,,27,,,27
,NUSC,496,,,,496
,NUTR,,20,15,,35
,PLBR,,16,30,,46
,PLPA,,4,26,,30
,POSC,143,18,7,,168
,PREP,,7,7,,14
,PSSC,2,,,,2
,RENR,65,,,,65
,RLEM,62,16,28,,106
,RPTS,407,24,45,,476
,RRDV,,2,,,2
,SOSC,,7,18,,25
,SPSA,28,,,,28
,TOXI,,1,2,,3
,USAL,100,,,,100
,WFSC,400,48,70,,518
,WISC,,15,,,15
,WMHS,,13,5,,18
