University Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2012,White Only (NEW),,,"American Indian Only
(NEW)",,,Asian Only (NEW),,,"Black Only + 2 or more/1
Black (NEW)",,,"Hispanic or Latino of
any Race (NEW)",,,"Native Hawaii Only
(New)",,,"2 or More/Excluding
Black (NEW)",,,International,,,"Unknown or Not
Reported",,,Grand Total,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,
Headcount Total,"2,761","2,544","5,305",14,8,22,179,237,416,187,111,298,956,852,"1,808",1,6,7,110,111,221,13,33,46,7,9,16,"4,228","3,911",
"TAMU Age           <18
Categories",18,10,28,,,,4,5,9,7,,7,5,3,8,,1,1,4,1,5,1,,1,,,,39,20,
18-21,"2,743","2,529","5,272",14,8,22,174,232,406,180,111,291,951,847,"1,798",1,5,6,106,110,216,12,33,45,7,9,16,"4,188","3,884",
22-25,,5,5,,,,1,,1,,,,,2,2,,,,,,,,,,,,,1,7,
Classification      Freshman,"2,558","2,369","4,927",14,8,22,164,222,386,172,107,279,847,757,"1,604",1,6,7,102,104,206,13,33,46,6,6,12,"3,877","3,612",
Sophomore,189,162,351,,,,11,11,22,10,3,13,85,59,144,,,,8,4,12,,,,1,3,4,304,242,
Junior,14,13,27,,,,4,4,8,5,1,6,23,36,59,,,,,3,3,,,,,,,46,57,
Senior,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,
Tuition Status     Resident Tuition,"2,470","2,248","4,718",13,5,18,165,221,386,169,101,270,905,797,"1,702",1,6,7,93,97,190,1,4,5,7,8,15,"3,824","3,487",
Non-Resident Tuition,48,32,80,,,,7,6,13,2,3,5,8,2,10,,,,1,1,2,10,20,30,,,,76,64,
Tuition Exemption/Waiver,243,264,507,1,3,4,7,10,17,16,7,23,43,53,96,,,,16,13,29,2,9,11,,1,1,328,360,
"Residency            Texas Resident
Status","2,674","2,404","5,078",14,7,21,170,225,395,185,106,291,945,842,"1,787",1,6,7,109,103,212,1,4,5,7,9,16,"4,106","3,706",
"Non-TX, US Resident",87,136,223,,1,1,7,11,18,2,5,7,9,10,19,,,,1,8,9,,,,,,,106,171,
"Non-TX, Non-US Resident",,4,4,,,,2,1,3,,,,2,,2,,,,,,,12,29,41,,,,16,34,
SCH Categories  < 6 SCH,344,354,698,3,3,6,12,18,30,11,6,17,75,60,135,,1,1,10,11,21,,,,1,1,2,456,454,
6-8 SCH,10,19,29,,,,,,,,,,,4,4,,,,1,,1,,,,,,,11,23,
9-11 SCH,8,4,12,,,,,,,1,,1,,1,1,,,,,,,,,,,,,9,5,
12-14 SCH,"1,375","1,345","2,720",6,4,10,88,116,204,120,75,195,525,521,"1,046",1,3,4,52,53,105,6,9,15,2,3,5,"2,175","2,129",
15-17 SCH,"1,016",818,"1,834",5,1,6,79,102,181,55,30,85,349,263,612,,2,2,47,47,94,5,18,23,4,5,9,"1,560","1,286",
>17 SCH,8,4,12,,,,,1,1,,,,7,3,10,,,,,,,2,6,8,,,,17,14,
Ft/Pt:  TAMU     Less Than Half Time Status,344,354,698,3,3,6,12,18,30,11,6,17,75,60,135,,1,1,10,11,21,1,,1,1,1,2,457,454,
Half-Time,18,23,41,,,,,,,1,,1,,5,5,,,,1,,1,2,4,6,,,,22,32,
Full-Time,"2,399","2,167","4,566",11,5,16,167,219,386,175,105,280,881,787,"1,668",1,5,6,99,100,199,10,29,39,6,8,14,"3,749","3,425",
Top 10% Texas   No High School,"1,095","1,310","2,405",6,4,10,87,107,194,41,42,83,229,256,485,,5,5,37,49,86,12,30,42,3,4,7,"1,510","1,807",
Yes,"1,666","1,234","2,900",8,4,12,92,130,222,146,69,215,727,596,"1,323",1,1,2,73,62,135,1,3,4,4,5,9,"2,718","2,104",
"First                      No
Generation","2,178","2,117","4,295",10,7,17,103,141,244,65,54,119,369,348,717,1,3,4,80,85,165,1,2,3,4,5,9,"2,811","2,762",
Unknown,44,54,98,,,,9,11,20,12,9,21,31,27,58,,,,4,4,8,12,30,42,2,4,6,114,139,
Yes,539,373,912,4,1,5,67,85,152,110,48,158,556,477,"1,033",,3,3,26,22,48,,1,1,1,,1,"1,303","1,010",
Dorm / Off-         Off-campus campus,"1,231",973,"2,204",6,3,9,77,85,162,62,42,104,292,208,500,,3,3,42,40,82,4,19,23,6,4,10,"1,720","1,377",
students               Dorm (On-campus),"1,530","1,571","3,101",8,5,13,102,152,254,125,69,194,664,644,"1,308",1,3,4,68,71,139,9,14,23,1,5,6,"2,508","2,534",
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
