Fall 2012,,White Only (NEW),"American Indian Only
(NEW)",Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)","Hispanic or Latino of any Race
(NEW)",Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total,
"Science                                    BIOL
CHEM CLSC MATH PHYS STAT
Subtotal",,890,5,226,56,424,3,43,56,2,"1,705",
,,291,3,56,15,88,,12,157,5,627,
,,16,,1,1,3,,,,,21,
,,369,,29,15,123,1,26,95,5,663,
,,197,3,19,7,56,,17,101,2,402,
,,84,,16,4,5,,2,46,5,162,
,,"1,847",11,347,98,699,4,100,455,19,"3,580",
"Veterinary Medicine
General Studies
Other - Special Populations",CLVM,"1,581",6,193,82,436,1,51,7,12,"2,369",
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD MARS SABX SRPH
Subtotal",21,,2,2,3,,1,19,1,49,
,,13,,,,,,,,,13,
,,2,,,,2,,,7,,11,
,,26,,2,1,5,,1,6,,41,
,,15,,3,,1,,,10,,29,
,,"1,658",6,200,85,447,1,53,49,13,"2,512",
,,"2,421",11,168,128,727,6,82,16,11,"3,570",
,,"2,421",11,168,128,727,6,82,16,11,"3,570",
,,5,,2,,2,,,1,1,11,
,,,,,,1,,,,,1,
,,,,,,,,,113,3,116,
,,10,,2,1,1,,,3,4,21,
,,15,,4,1,4,,,117,8,149,
Total,,32307,142,2343,1712,8128,43,976,4370,206,50227,
"Prepared by DARS, 11 Dec 12",,,,,,,,,,,,
