Fall 2012,,Undergraduate,,,,,,Masters,,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Engineering,AERL,50,28,3,,,81,,,,,,,,81
,AERO,,6,13,34,,53,,2,2,5,5,,,60
,BIOT,,,,,,,,2,2,,,,,2
,BMEL,24,13,4,,,41,,,,,,,,41
,BMEN,,5,6,19,,30,,2,2,10,10,,,42
,CECL,37,16,6,3,,62,,,,,,,,62
,CECN,,1,2,13,,16,,2,2,1,1,,,19
,CEEL,19,9,7,2,,37,,,,,,,,37
,CEEN,,1,6,6,,13,,1,1,,,,,14
,CHEL,13,14,2,,,29,,,,,,,,29
,CHEN,,8,10,44,,62,,1,1,6,6,,,69
,CPSC,,,10,20,,30,,1,1,4,4,,,35
,CPSL,16,19,7,3,,45,,,,,,,,45
,CVEL,38,15,4,,,57,,,,,,,,57
,CVEN,,12,32,57,,101,,14,14,,,,,115
,ELEL,47,22,10,4,,83,,,,,,,,83
,ELEN,,7,20,56,2,85,,6,6,15,15,,,106
,ENGR,,,,,,,,,,1,1,,,1
,ENSM,,,,,,,,2,2,,,,,2
,ENTC,,,12,38,,50,,,,,,,,50
,ENTL,9,18,26,8,,61,,,,,,,,61
,IDIL,2,6,5,1,,14,,,,,,,,14
,IDIS,,,10,48,,58,,8,8,,,,,66
,INEL,15,17,6,2,,40,,,,,,,,40
,INEN,1,9,15,71,1,97,,9,9,2,2,,,108
,MEEL,45,15,8,,,68,,,,,,,,68
,MEEN,1,10,26,52,1,90,,16,16,8,8,,,114
,MSEN,,,,,,,,,,1,1,,,1
,NUEL,10,7,3,1,,21,1,,1,,,,,22
,NUEN,,1,10,13,,24,,7,7,4,4,,,35
,OCEL,2,3,,,,5,,,,,,,,5
,OCEN,,5,4,6,,15,,2,2,,,,,17
,PETE,,4,21,30,,55,,18,18,4,4,,,77
,PETL,23,7,6,,,36,,,,,,,,36
,RHEL,2,3,,1,,6,,,,,,,,6
,RHEN,,1,3,3,,7,,,,,,,,7
,USEN,,,,1,,1,,,,,,,,1
,Subtotal,354,282,297,536,4,"1,473",1,93,94,61,61,,,"1,628"
