Fall 2012,,Undergraduate,,,,,,Masters,,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
"Science                                    BIOL
CHEM CLSC MATH PHYS STAT
Subtotal",,169,86,67,93,2,417,1,1,2,5,5,,,424,
,,16,21,11,22,,70,,1,1,17,17,,,88,
,,,,,3,,3,,,,,,,,3,
,,53,21,28,18,,120,,2,2,1,1,,,123,
,,29,9,1,4,,43,,,,13,13,,,56,
,,,,,,,,,5,5,,,,,5,
,,267,137,107,140,2,653,1,9,10,36,36,,,699,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,155,85,66,79,,385,,4,4,1,1,46,46,436,
,"VIBS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD MARS SRPH
Subtotal Total",,,,,,,,3,3,,,,,3,
,,,,,,,,,1,1,1,1,,,2,
,,,,,,,,,1,1,4,4,,,5,
,,,,,,,,,1,1,,,,,1,
,,155,85,66,79,,385,,10,10,6,6,46,46,447,
,,420,294,13,,,727,,,,,,,,727,
,,420,294,13,,,727,,,,,,,,727,
,,,,,,,,,2,2,,,,,2,
,,,,,,,,,1,1,,,,,1,
,,,,,,,,,1,1,,,,,1,
,,,,,,,,,4,4,,,,,4,
,,"1,919","1,603","1,513","2,215",13,"7,263",2,424,426,393,393,46,46,"8,128",
"Prepared by DARS, 11 Dec 12",,,,,,,,,,,,,,,,
