Fall 2012,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Engineering,AERO,,,1,3,4,,,1,1,,,5
,BMEN,,1,1,,2,1,1,1,1,,,4
,CHEN,,1,1,2,4,2,2,,,,,6
,CSCE,1,,,,1,2,2,3,3,,,6
,CVEN,,,,1,1,,,1,1,,,2
,ECEN,,2,,1,3,,,5,5,,,8
,ETID,,,1,,1,1,1,,,,,2
,ISEN,,,2,2,4,1,1,,,,,5
,MEEN,1,,,3,4,2,2,,,,,6
,NUEN,,,,1,1,,,1,1,,,2
,PETE,,,2,,2,5,5,2,2,,,9
,Subtotal,2,4,8,13,27,14,14,14,14,,,55
G. Bush School of Govt,BUSH,,,,,,1,1,,,,,1
,Subtotal,,,,,,1,1,,,,,1
Geosciences,GEOG,1,,,,1,,,,,,,1
,GEPL,,1,,,1,,,2,2,,,3
,OCNG,,,,,,,,1,1,,,1
,Subtotal,1,1,,,2,,,3,3,,,5
Liberal Arts,ANTH,,,,,,1,1,,,,,1
,CLLA,,1,1,,2,,,,,,,2
,COMM,,,1,1,2,1,1,2,2,,,5
,ECON,1,1,2,,4,1,1,1,1,,,6
,ENGL,,,,1,1,,,1,1,,,2
,HISP,,,,,,,,1,1,,,1
,HIST,,1,,1,2,,,2,2,,,4
,PHUM,,,,,,,,1,1,,,1
,POLS,,,2,1,3,,,1,1,,,4
,PRFM,,,,,,1,1,,,,,1
,PSYC,,,1,2,3,,,,,,,3
,SOCI,1,,,,1,,,1,1,,,2
,Subtotal,2,3,7,6,18,4,4,10,10,,,32
