Fall 2012,,Undergrad uate,Masters,Doctoral,Profession al,Total
Agriculture,Subtotal,"5,976",589,703,,"7,268"
Architecture,ARCH,,101,59,,160
,COMG,,62,,,62
,COSC,352,,,,352
,COSL,257,,,,257
,ENDL,216,,,,216
,ENDS,147,,,,147
,LAND,65,39,,,104
,LANL,42,,,,42
,LDEV,,26,,,26
,LPDV,,8,,,8
,URPL,,54,,,54
,URSC,77,,55,,132
,USAR,51,,,,51
,VISL,142,,,,142
,VIST,89,82,,,171
,Subtotal,"1,438",372,114,,"1,924"
