Fall 2012,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,
Headcount Total,258,804,"1,062",1,2,3,17,73,90,3,24,27,89,274,363,,1,1,17,35,52,2,5,7,,1,1,387,"1,219",
"TAMU Age           <18
Categories",2,7,9,,,,,3,3,,,,,1,1,,1,1,1,,1,,,,,,,3,12,
18-21,256,797,"1,053",1,2,3,17,70,87,3,24,27,89,272,361,,,,16,35,51,2,5,7,,1,1,384,"1,206",
22-25,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,
Classification      Freshman,239,736,975,1,2,3,16,66,82,3,23,26,75,240,315,,1,1,15,32,47,2,5,7,,1,1,351,"1,106",
Sophomore,17,63,80,,,,1,5,6,,1,1,12,18,30,,,,2,1,3,,,,,,,32,88,
Junior,2,5,7,,,,,2,2,,,,2,16,18,,,,,2,2,,,,,,,4,25,
Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status     Resident Tuition,232,704,936,,1,1,16,68,84,2,22,24,82,251,333,,1,1,17,33,50,1,,1,,1,1,350,"1,081",
Non-Resident Tuition,,5,5,,,,,3,3,,,,,,,,,,,,,1,2,3,,,,1,10,
Tuition Exemption/Waiver,26,95,121,1,1,2,1,2,3,1,2,3,7,23,30,,,,,2,2,,3,3,,,,36,128,
Residency            Texas Resident Status,254,758,"1,012",1,2,3,17,68,85,2,24,26,89,272,361,,1,1,17,34,51,1,,1,,1,1,381,"1,160",
"Non-TX, US Resident",4,46,50,,,,,5,5,1,,1,,2,2,,,,,1,1,,,,,,,5,54,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,1,5,6,,,,1,5,
SCH Categories  < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,4,4,8,,,,,,,,,,,1,1,,,,,,,,,,,,,4,5,
12-14 SCH,166,579,745,,2,2,10,47,57,3,19,22,63,213,276,,,,14,22,36,1,1,2,,1,1,257,884,
15-17 SCH,88,221,309,1,,1,7,26,33,,5,5,26,60,86,,1,1,3,13,16,,4,4,,,,125,330,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,
"Ft/Pt:  TAMU     Less Than Half Time
Status",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Half-Time,4,4,8,,,,,,,,,,,1,1,,,,,,,,1,1,,,,4,6,
Full-Time,254,800,"1,054",1,2,3,17,73,90,3,24,27,89,273,362,,1,1,17,35,52,2,4,6,,1,1,383,"1,213",
Top 10% Texas   No High School,38,229,267,,,,4,23,27,2,2,4,12,40,52,,,,2,6,8,1,4,5,,,,59,304,
Yes,220,575,795,1,2,3,13,50,63,1,22,23,77,234,311,,1,1,15,29,44,1,1,2,,1,1,328,915,
"First                      No
Generation",217,670,887,1,2,3,11,49,60,1,12,13,42,110,152,,1,1,14,28,42,1,,1,,1,1,287,873,
Unknown,4,21,25,,,,1,2,3,,1,1,2,7,9,,,,1,2,3,1,5,6,,,,9,38,
Yes,37,113,150,,,,5,22,27,2,11,13,45,157,202,,,,2,5,7,,,,,,,91,308,
"Dorm / Off-         Off-campus
campus",63,201,264,,,,7,19,26,1,3,4,17,57,74,,,,3,9,12,,2,2,,,,91,291,
students               Dorm (On-campus),195,603,798,1,2,3,10,54,64,2,21,23,72,217,289,,1,1,14,26,40,2,3,5,,1,1,296,928,
"Prepared by DARS, 12 Dec 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
