Fall 2012,,Undergraduate,,,,,,Masters,,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Agriculture,ABME,,,,,,,,,,1,1,,,1
,ADEV,,,,,,,,18,18,,,,,18
,AGBL,34,52,42,3,1,132,,,,,,,,132
,AGBU,,,33,94,,127,,19,19,,,,,146
,AGCJ,16,43,89,105,1,254,,,,,,,,254
,AGEC,9,27,61,134,,231,,20,20,14,14,,,265
,AGLS,8,31,37,11,,87,,,,,,,,87
,AGRO,5,15,35,50,,105,,13,13,8,8,,,126
,AGSC,7,18,31,45,1,102,,,,,,,,102
,AGSM,13,22,33,51,,119,,4,4,,,,,123
,ALEC,,,,,,,,59,59,43,43,,,102
,ALED,20,78,150,188,1,437,,,,,,,,437
,ANBR,,,,,,,,6,6,3,3,,,9
,ANSC,139,132,171,231,4,677,,41,41,14,14,,,732
,BAEN,46,36,29,50,1,162,,19,19,4,4,,,185
,BESC,7,19,33,60,,119,,,,,,,,119
,BICH,26,19,19,36,1,101,,3,3,41,41,,,145
,BIOT,,,,,,,,1,1,,,,,1
,CDEV,3,2,5,13,,23,,,,,,,,23
,ECOR,4,4,5,7,1,21,,,,,,,,21
,ENST,4,11,10,13,,38,,,,,,,,38
,ENTO,,7,12,19,,38,,7,7,19,19,,,64
,FISC,,,,,,,,2,2,,,,,2
,FIVL,31,12,7,,,50,,,,,,,,50
,FIVS,,,6,17,,23,,,,,,,,23
,FORS,1,6,7,6,1,21,,3,3,4,4,,,28
,FSTC,7,12,24,34,2,79,1,15,16,3,3,,,98
,GENE,12,10,18,19,1,60,,3,3,24,24,,,87
,HORT,7,26,43,65,,141,,11,11,4,4,,,156
,MEPS,,,,,,,,2,2,4,4,,,6
,NRDV,,,,,,,,21,21,,,,,21
,NUSC,50,72,84,124,5,335,,,,,,,,335
,NUTR,,,,,,,,11,11,7,7,,,18
,PLBR,,,,,,,,13,13,15,15,,,28
,PLPA,,,,,,,,1,1,7,7,,,8
,POSC,9,22,27,49,1,108,,12,12,3,3,,,123
,PREP,,,,,,,,6,6,4,4,,,10
