Data and Research Services,,,,,,,,,,,
Texas A&M University Student Enrollment Summary,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,
Official 12th Class Day Data -- Certified,,,,,,,,,,,
College G. Bush School of Govt,,,,,,,,,,,
Fall 2012,Student Level,,,,,,,,,,
,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,#,%,#,%,#,%,#,%,#,%,
Gender                      Total,,,371,100.0%,,,,,371,100.0%,
Female,,,162,43.7%,,,,,162,43.7%,
Male,,,209,56.3%,,,,,209,56.3%,
Ethnicity                  White Only (NEW),,,247,66.6%,,,,,247,66.6%,
American Indian Only (NEW),,,3,.8%,,,,,3,.8%,
Asian Only (NEW),,,12,3.2%,,,,,12,3.2%,
Black Only + 2 or more/1 Black (NEW),,,21,5.7%,,,,,21,5.7%,
Hispanic or Latino of any Race (NEW),,,40,10.8%,,,,,40,10.8%,
Native Hawaii Only (New),,,,,,,,,,,
2 or More/Excluding Black (NEW),,,11,3.0%,,,,,11,3.0%,
International,,,36,9.7%,,,,,36,9.7%,
Unknown or Not Reported,,,1,.3%,,,,,1,.3%,
TAMU Age               <18,,,,,,,,,,,
Categories                18-21,,,8,2.2%,,,,,8,2.2%,
22-25,,,191,51.5%,,,,,191,51.5%,
26-30,,,95,25.6%,,,,,95,25.6%,
31-39,,,51,13.7%,,,,,51,13.7%,
40+,,,26,7.0%,,,,,26,7.0%,
Enrollment Status  1st Time in College,,,,,,,,,,,
1st Time Graduate,,,206,55.5%,,,,,206,55.5%,
1st Time Professional,,,,,,,,,,,
1st Time Transfer,,,,,,,,,,,
Readmitted,,,1,.3%,,,,,1,.3%,
Continuing,,,164,44.2%,,,,,164,44.2%,
Tuition Status         Resident Tuition,,,210,56.6%,,,,,210,56.6%,
Non-Resident Tuition,,,2,.5%,,,,,2,.5%,
Tuition Exemption/Waiver,,,159,42.9%,,,,,159,42.9%,
Residency Status    Texas Resident,,,250,67.4%,,,,,250,67.4%,
"Non-TX, US Resident",,,81,21.8%,,,,,81,21.8%,
"Non-TX, Non-US Resident",,,40,10.8%,,,,,40,10.8%,
SCH Categories       < 6 SCH,,,31,8.4%,,,,,31,8.4%,
6-8 SCH,,,61,16.4%,,,,,61,16.4%,
9-11 SCH,,,22,5.9%,,,,,22,5.9%,
12-14 SCH,,,246,66.3%,,,,,246,66.3%,
15-17 SCH,,,11,3.0%,,,,,11,3.0%,
>17 SCH,,,,,,,,,,,
Ft/Pt:  TAMU          Less Than Half Time,,,31,8.4%,,,,,31,8.4%,
Status                        Half-Time,,,61,16.4%,,,,,61,16.4%,
Full-Time,,,279,75.2%,,,,,279,75.2%,
Top 10% Texas        No,,,364,98.1%,,,,,364,98.1%,
High School             Yes,,,7,1.9%,,,,,7,1.9%,
First Generation     No,,,239,64.4%,,,,,239,64.4%,
Unknown,,,42,11.3%,,,,,42,11.3%,
Yes,,,90,24.3%,,,,,90,24.3%,
"Prepared by DARS, 12/11/2012",,,,,,,,,,,
Page 12,,,,,,,,,,,
