Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,
Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Liberal Arts,ANTH,1,,2,2,,5,,,5,5,,,10,
,COMM,3,4,10,8,,25,1,1,3,3,,,29,
,ECON,4,5,4,12,,25,2,2,,,,,27,
,ENGL,2,2,6,10,,20,,,2,2,,,22,
,HIST,7,3,3,4,,17,,,,,,,17,
,INTS,4,6,8,13,,31,,,,,,,31,
,MODL,,,,2,,2,,,,,,,2,
,MUSC,,1,,,,1,,,,,,,1,
,NRSC,,,,,,,,,1,1,,,1,
,PERF,,,,,,,2,2,,,,,2,
,PHIL,,1,,1,,2,,,,,,,2,
,POLS,5,6,7,9,,27,,,2,2,,,29,
,PSYC,13,12,21,21,,67,1,1,1,1,,,69,
,SOCI,10,12,11,22,,55,3,3,16,16,,,74,
,SPAN,1,,,,,1,,,,,,,1,
,TCMS,5,2,1,1,,9,,,,,,,9,
,THAR,2,,1,,,3,,,,,,,3,
,USLA,,,,2,,2,,,,,,,2,
,WGST,,,,4,,4,,,,,,,4,
,Subtotal,57,54,74,111,,296,9,9,30,30,,,335,
Science,APMS,3,,1,4,,8,,,,,,,8,
,BIOL,18,9,8,10,,45,,,,,,,45,
,BMCB,1,,2,,,3,,,,,,,3,
,CHEM,6,2,1,1,,10,,,5,5,,,15,
,MATH,3,1,,2,,6,,,1,1,,,7,
,MBIO,,1,2,1,,4,,,,,,,4,
,PHYS,3,1,,,,4,1,1,2,2,,,7,
,STAT,,,,,,,4,4,,,,,4,
,USSC,,,,1,,1,,,,,,,1,
,ZOOL,,2,,2,,4,,,,,,,4,
,Subtotal,34,16,14,21,,85,5,5,8,8,,,98,
