Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
"G. Bush School of Govt     CAIA
CHLS CNPM INTA PSAA
Subtotal
Geosciences                 ENGS ENST GEOG GEOL GEOP GEOS METR WMHS
Subtotal",,,,,,,,1,1,,,,,1
,,,,,,,,1,1,,,,,1
,,,,,,,,1,1,,,,,1
,,,,,,,,6,6,,,,,6
,,,,,,,,2,2,,,,,2
,,,,,,,,11,11,,,,,11
,,,1,1,,,2,,,,,,,2
,,1,,1,,,2,,,,,,,2
,,,,1,,,1,1,1,1,1,,,3
,,2,1,1,1,,5,1,1,,,,,6
,,,,,1,,1,,,,,,,1
,,,,,,,,1,1,,,,,1
,,,,,3,,3,,,,,,,3
,,,,,,,,,,1,1,,,1
,,3,2,4,5,,14,3,3,2,2,,,19
Liberal Arts,ANTH,1,3,3,1,,8,,,4,4,,,12
,"COMM ECON ENGL HIST INTS MUSC PHIL POLS PSYC SOCI TCMS THAR
Subtotal",6,4,2,11,,23,,,,,,,23
,,2,6,6,,,14,1,1,,,,,15
,,3,3,3,5,,14,,,1,1,,,15
,,5,3,4,5,,17,1,1,,,,,18
,,2,9,1,5,,17,,,,,,,17
,,1,,,,,1,,,,,,,1
,,1,3,1,1,,6,,,,,,,6
,,7,5,2,5,,19,,,,,,,19
,,2,8,10,1,,21,,,,,,,21
,,2,3,2,1,,8,1,1,2,2,,,11
,,1,2,1,2,,6,,,,,,,6
,,1,,,1,,2,,,,,,,2
,,34,49,35,38,,156,3,3,7,7,,,166
