Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,
Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,AGEC,1,,2,2,1,6,3,3,2,2,,,11,
,ALEC,1,,,3,,4,1,1,1,1,,,6,
,ANSC,2,1,1,5,,9,,,,,,,9,
,BAEN,2,4,1,5,1,13,1,1,,,,,14,
,BCBP,16,10,16,22,1,65,,,3,3,,,68,
,CLAG,1,,,,,1,,,,,,,1,
,ENTO,,,4,4,,8,1,1,1,1,,,10,
,ESSM,1,1,,1,,3,1,1,1,1,,,5,
,HRSC,1,,1,,,2,,,1,1,,,3,
,NFSC,7,5,13,21,1,47,2,2,2,2,,,51,
,PLPM,1,5,6,7,,19,2,2,1,1,,,22,
,POSC,,,,,,,1,1,,,,,1,
,RPTS,,2,1,6,,9,1,1,1,1,,,11,
,SCSC,,,1,,,1,1,1,1,1,,,3,
,WFSC,,1,2,,,3,1,1,,,,,4,
,Subtotal,33,29,48,76,4,190,15,15,14,14,,,219,
Architecture,ARCH,4,5,2,5,,16,3,3,3,3,,,22,
,CLAR,,,1,,,1,,,,,,,1,
,COSC,3,1,2,3,,9,2,2,,,,,11,
,LAUP,1,1,1,2,,5,,,2,2,,,7,
,VIZA,1,5,5,,,11,8,8,,,,,19,
,Subtotal,9,12,11,10,,42,13,13,5,5,,,60,
Business Admin,ACCT,,2,21,20,,43,4,4,1,1,,,48,
,CLBA,34,44,9,9,,96,31,31,,,,,127,
,FINC,,1,16,12,,29,3,3,2,2,,,34,
,INFO,,,11,20,,31,5,5,,,,,36,
,MGMT,,,3,5,,8,6,6,2,2,,,16,
,MKTG,,,2,3,,5,2,2,,,,,7,
,Subtotal,34,47,62,69,,212,51,51,5,5,,,268,
Education,EAHR,,2,7,8,,17,4,4,11,11,,,32,
,EPSY,,,,,,,1,1,8,8,,,9,
,HLKN,8,15,15,18,,56,7,7,4,4,,,67,
,TLAC,2,,3,5,,10,6,6,1,1,,,17,
,Subtotal,10,17,25,31,,83,18,18,24,24,,,125,
