Fall 2012,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,
Agriculture,AGEC,171,373,2,,4,7,2,3,22,41,,,2,4,40,42,,2,243,472,715
,ALEC,520,468,4,5,1,5,25,66,68,67,,1,7,12,8,3,1,1,634,628,"1,262"
,ANSC,554,202,7,,9,,11,1,111,52,,,18,6,10,10,2,,722,271,993
,BAEN,66,245,,1,3,11,7,3,16,47,,,,9,19,37,,1,111,354,465
,BCBP,115,113,,2,31,37,15,10,31,36,,,6,6,25,42,2,2,225,248,473
,CLAG,42,45,,,1,,7,1,8,13,,,1,2,1,,,,60,61,121
,ENTO,84,53,1,1,4,6,8,2,56,25,,,2,2,10,9,,,165,98,263
,ESSM,63,148,,1,3,2,5,1,15,28,,,1,3,10,6,,,97,189,286
,HRSC,103,57,,1,3,,,,17,13,,,3,,10,7,,,136,78,214
,NFSC,371,72,1,,38,13,21,5,99,20,1,,10,4,21,6,2,,564,120,684
,PLPM,87,80,,1,6,16,7,5,46,27,,1,4,3,6,10,,1,156,144,300
,POSC,54,74,1,,1,,4,2,18,15,,,1,,6,4,,,85,95,180
,RPTS,243,149,1,,7,4,12,12,25,21,1,1,3,6,21,11,,1,313,205,518
,SCSC,32,142,,1,1,2,1,2,10,11,,,,5,21,22,,,65,185,250
,WFSC,188,194,,1,1,3,8,2,72,45,1,1,5,1,11,8,2,1,288,256,544
,Subtotal,"2,693","2,415",17,14,113,106,133,115,614,461,3,4,63,63,219,217,9,9,"3,864","3,404","7,268"
Architecture,ARCH,140,151,1,,14,8,4,5,64,46,,,4,3,37,42,3,1,267,256,523
,CLAR,11,20,,,,1,,2,3,13,,,,1,,,,,14,37,51
,COSC,39,442,,3,3,8,4,12,20,86,,,1,9,10,34,,,77,594,671
,LAUP,56,98,,,3,4,5,8,28,45,1,,2,5,68,42,,1,163,203,366
,VIZA,115,103,1,,11,8,,4,22,26,,,3,2,4,12,2,,158,155,313
,Subtotal,361,814,2,3,31,29,13,31,137,216,1,,10,20,119,130,5,2,679,"1,245","1,924"
Business Admin,ACCT,328,307,,,20,28,14,9,54,40,,,8,3,19,8,1,3,444,398,842
,CLBA,804,924,2,3,56,71,27,42,154,152,,1,30,15,17,39,,16,"1,090","1,263","2,353"
,FINC,155,369,,1,3,31,3,5,31,55,,,3,1,7,13,,2,202,477,679
,INFO,142,238,1,1,18,18,7,8,27,50,,,3,5,42,103,1,,241,423,664
,MGMT,143,105,,,8,8,7,4,23,20,,,1,2,6,2,2,,190,141,331
,MKTG,247,85,,,5,2,5,4,28,9,,2,9,4,6,7,1,1,301,114,415
,Subtotal,"1,819","2,028",3,5,110,158,63,72,317,326,,3,54,30,97,172,5,22,"2,468","2,816","5,284"
"Education
Engineering
G. Bush School of Govt Geosciences",CLED,5,2,,,,,,,,,,,,1,,,,,5,3,8
,EAHR,248,184,2,1,20,12,52,37,90,75,,,4,5,24,9,,1,440,324,764
,EPSY,286,25,,,8,1,20,4,103,14,,,8,1,37,10,1,2,463,57,520
,HLKN,"1,318",616,2,1,50,17,87,55,268,169,2,,40,21,22,25,1,1,"1,790",905,"2,695"
,TLAC,"1,200",97,5,,16,1,60,11,145,31,,,20,3,40,18,2,2,"1,488",163,"1,651"
,Subtotal,"3,057",924,9,2,94,31,219,107,606,289,2,,72,31,123,62,4,6,"4,186","1,452","5,638"
,AERO,83,437,,2,1,28,2,7,22,119,,,3,19,6,49,1,4,118,665,783
,BMEN,135,186,,1,22,34,3,5,40,43,,,6,11,13,27,1,3,220,310,530
,CHEN,133,321,1,1,21,46,7,18,38,62,,1,8,11,47,86,3,3,258,549,807
,CLEN,,3,,,2,2,1,,,2,,,,,,,,,3,7,10
,CSCE,51,517,2,2,12,65,8,29,21,140,1,1,4,12,37,191,1,5,137,962,"1,099"
,CVEN,212,596,,3,10,36,6,19,57,137,,3,1,13,65,202,1,1,352,"1,010","1,362"
,ECEN,79,568,,1,24,121,6,28,33,207,,3,4,28,74,444,,8,220,"1,408","1,628"
,ETID,80,648,,2,7,30,9,26,26,165,,,2,16,2,16,,2,126,905,"1,031"
,ISEN,74,346,1,1,10,34,8,20,33,117,,2,4,9,72,134,2,3,204,666,870
,MEEN,148,837,1,4,10,53,7,19,39,144,,1,3,18,70,264,,6,278,"1,346","1,624"
,NUEN,65,225,,1,4,20,4,10,14,56,1,,2,11,6,45,1,1,97,369,466
,PETE,95,495,,5,10,43,5,22,20,93,,1,5,12,61,195,2,7,198,873,"1,071"
,Subtotal,"1,155","5,179",5,23,133,512,66,203,343,"1,285",2,12,42,160,453,"1,653",12,43,"2,211","9,070","11,281"
,BUSH,98,149,2,1,7,5,11,10,18,22,,,6,5,20,16,,1,162,209,371
,Subtotal,98,149,2,1,7,5,11,10,18,22,,,6,5,20,16,,1,162,209,371
,ATMO,51,80,,,2,1,2,5,14,16,,,1,2,6,16,,,76,120,196
,CLGE,55,52,,1,1,2,1,1,11,9,,,,2,1,2,,,69,69,138
,GEOG,76,119,1,1,3,,3,3,20,23,,,3,3,14,19,1,,121,168,289
,GEPL,68,201,,,6,14,5,1,16,28,,,1,7,24,43,2,1,122,295,417
,OCNG,29,16,1,,,1,1,,2,2,,,,,10,17,,1,43,37,80
,Subtotal,279,468,2,2,12,18,12,10,63,78,,,5,14,55,97,3,2,431,689,"1,120"
