Ethnicity Native Hawaii Only (New),,,,,,,,,,
Fall 2012,,Undergraduate,,,,,Doctoral,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,Total,Doctoral,Total,,
"Engineering                         PETL RHEN
Subtotal",,1,,,,1,,,1,
,,,,,1,1,,,1,
,,1,1,3,8,13,1,1,14,
"Liberal Arts
Science
Veterinary Medicine General Studies
University",COMM,1,,,,1,,,1,
,"ENGL INTS PSYC SOCI
Subtotal BIOL MATH
Subtotal BIMS
Subtotal GEST TEAM
Subtotal
Total",,,1,,1,,,1,
,,,,1,,1,,,1,
,,,,,1,1,,,1,
,,,,1,,1,,,1,
,,1,,3,1,5,,,5,
,,,1,1,1,3,,,3,
,,,1,,,1,,,1,
,,,2,1,1,4,,,4,
,,1,,,,1,,,1,
,,1,,,,1,,,1,
,,1,3,,,4,,,4,
,,2,,,,2,,,2,
,,3,3,,,6,,,6,
,,8,9,9,16,42,1,1,43,
"Prepared by DARS, 11 Dec 12",,,,,,,,,,
