Ethnicity International,,,,,,,,,,,,,
Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,,
Education,BIED,,,,,,,2,2,,,2,
,CPSY,,,,,,,,,1,1,1,
,EDAD,,,,,,,2,2,,,2,
,EDCI,,,,,,,29,29,29,29,58,
,EDHL,,,1,,,1,,,,,1,
,EDKI,3,2,,,,5,,,,,5,
,EDSM,1,,2,,,3,,,,,3,
,EHRD,,,,,,,13,13,17,17,30,
,EPSY,,,,,,,10,10,31,31,41,
,HEED,,,,,,,1,1,6,6,7,
,HRDL,,,,1,,1,,,,,1,
,INST,,,,1,,1,,,,,1,
,KINE,,,,,,,9,9,15,15,24,
,SPMT,,,,2,,2,5,5,,,7,
,SPSY,,,,,,,,,2,2,2,
,Subtotal,4,2,3,4,,13,71,71,101,101,185,
Engineering,AERL,,3,,3,,6,,,,,6,
,AERO,,2,1,4,,7,9,9,32,32,48,
,BIOT,,,,,,,16,16,,,16,
,BMEL,,1,,,,1,,,,,1,
,BMEN,,1,2,2,,5,5,5,27,27,37,
,CECL,,,2,,,2,,,,,2,
,CECN,,,3,8,,11,31,31,37,37,79,
,CEEL,2,3,1,,,6,,,,,6,
,CEEN,,1,2,2,,5,55,55,30,30,90,
,CHEL,,1,1,,,2,,,,,2,
,CHEN,,,4,21,,25,4,4,71,71,100,
,CPSC,1,2,6,7,,16,71,71,51,51,138,
,CPSL,2,3,2,2,,9,,,,,9,
,CVEL,1,,1,,,2,,,,,2,
,CVEN,,3,4,12,,19,76,76,118,118,213,
,ELEL,8,5,9,3,,25,,,,,25,
,ELEN,,1,5,29,,35,112,112,246,246,393,
