Ethnicity Native Hawaii Only (New),,,,,,,,,,
Fall 2012,,Undergraduate,,,,,Doctoral,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,Total,Doctoral,Total,,
Agriculture,ALEC,1,,,,1,,,1,
,NFSC,,,,1,1,,,1,
,PLPM,,,1,,1,,,1,
,RPTS,1,,,1,2,,,2,
,WFSC,,1,,1,2,,,2,
,Subtotal,2,1,1,3,7,,,7,
Architecture,LAUP,,,,1,1,,,1,
,Subtotal,,,,1,1,,,1,
Business Admin,CLBA,,1,,,1,,,1,
,MKTG,,1,,1,2,,,2,
,Subtotal,,2,,1,3,,,3,
"Education Engineering
Liberal Arts
Science
Veterinary  Medicine General Studies University",HLKN,,,1,1,2,,,2,
,Subtotal,,,1,1,2,,,2,
,CHEN,,,1,,1,,,1,
,CSCE,,1,,,1,1,1,2,
,CVEN,,,,3,3,,,3,
,ECEN,,,,3,3,,,3,
,ISEN,,,2,,2,,,2,
,MEEN,,,,1,1,,,1,
,NUEN,,,,1,1,,,1,
,PETE,1,,,,1,,,1,
,Subtotal,1,1,3,8,13,1,1,14,
,CLLA,,,1,,1,,,1,
,COMM,1,,,,1,,,1,
,ENGL,,,1,,1,,,1,
,PSYC,,,,1,1,,,1,
,SOCI,,,1,,1,,,1,
,Subtotal,1,,3,1,5,,,5,
,BIOL,,1,1,1,3,,,3,
,MATH,,1,,,1,,,1,
,Subtotal,,2,1,1,4,,,4,
,CLVM,1,,,,1,,,1,
,Subtotal,1,,,,1,,,1,
,GEST,3,3,,,6,,,6,
,Subtotal,3,3,,,6,,,6,
,Total,8,9,9,16,42,1,1,43,
"Prepared by DARS, 11 Dec 12",,,,,,,,,,
