Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
"Science                                    BIOL
CHEM CLSC MATH PHYS STAT
Subtotal",,19,12,12,13,,56,,,,,,,56,
,,6,2,1,1,,10,,,5,5,,,15,
,,,,,1,,1,,,,,,,1,
,,6,1,1,6,,14,,,1,1,,,15,
,,3,1,,,,4,1,1,2,2,,,7,
,,,,,,,,4,4,,,,,4,
,,34,16,14,21,,85,5,5,8,8,,,98,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,41,12,11,12,,76,2,2,,,4,4,82,
,"VIBS VTPB
Subtotal GEST
Subtotal SRPH
Subtotal
Total",,,,,,,2,2,,,,,2,
,,,,,,,,,,1,1,,,1,
,,41,12,11,12,,76,4,4,1,1,4,4,85,
,,87,40,1,,,128,,,,,,,128,
,,87,40,1,,,128,,,,,,,128,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,1,
,,365,248,272,440,1,"1,326",168,168,214,214,4,4,"1,712",
"Prepared by DARS, 11 Dec 12",,,,,,,,,,,,,,,
