Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Engineering,AERL,1,3,,,,4,,,,,,,4
,AERO,,1,,3,,4,,,1,1,,,5
,BIOT,,,,,,,1,1,,,,,1
,BMEL,,,1,,,1,,,,,,,1
,BMEN,,,4,1,,5,,,2,2,,,7
,CECL,3,2,2,,,7,,,,,,,7
,CECN,,1,,4,,5,,,,,,,5
,CEEL,2,1,,,,3,,,,,,,3
,CEEN,,,,4,,4,1,1,,,,,5
,CHEL,1,2,2,1,,6,,,,,,,6
,CHEN,,,2,11,,13,2,2,1,1,,,16
,CPSC,,,1,10,,11,,,4,4,,,15
,CPSL,3,5,1,1,,10,,,,,,,10
,CVEL,5,1,,,,6,,,,,,,6
,CVEN,,2,4,7,,13,3,3,,,,,16
,ELEL,5,2,2,2,1,12,,,,,,,12
,ELEN,,2,3,6,,11,1,1,2,2,,,14
,ENSM,,,,,,,3,3,,,,,3
,ENTC,,,2,9,,11,,,,,,,11
,ENTL,3,2,4,2,,11,,,,,,,11
,HLPH,,,,,,,2,2,,,,,2
,IDIL,,1,,1,,2,,,,,,,2
,IDIS,,1,2,8,,11,,,,,,,11
,INEL,2,,2,,,4,,,,,,,4
,INEN,,,2,15,,17,,,4,4,,,21
,ITDE,,,,,,,,,1,1,,,1
,MEEL,3,4,,,,7,,,,,,,7
,MEEN,,2,5,5,,12,3,3,4,4,,,19
,MSEN,,,,,,,,,1,1,,,1
,NUEL,2,,,,,2,,,,,,,2
,NUEN,,1,1,4,,6,,,2,2,,,8
,OCEL,1,,,,,1,,,,,,,1
,OCEN,,,,1,,1,1,1,,,,,2
,PETE,,2,3,6,,11,7,7,2,2,,,20
