Fall 2012,,Undergrad uate,Masters,Doctoral,Profession al,Total
Science,APHY,,,12,,12
,APMS,198,,,,198
,BIOL,"1,329",3,69,,"1,401"
,BMCB,105,,,,105
,BOTN,,,2,,2
,CHEM,345,7,275,,627
,GENE,,1,1,,2
,MATH,310,37,118,,465
,MBIO,88,2,15,,105
,MSEN,,,1,,1
,PHYS,218,22,149,,389
,STAT,,108,54,,162
,USSC,21,,,,21
,ZOOL,83,,7,,90
,Subtotal,"2,697",180,703,,"3,580"
