Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,
Fall 2012,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,AGBU,,,1,1,2,,,,,,,2,
,ALEC,,,,,,1,1,1,1,,,2,
,ANSC,,,,2,2,,,,,,,2,
,BAEN,,,1,,1,,,,,,,1,
,BICH,,1,,1,2,,,1,1,,,3,
,GENE,,,,,,,,1,1,,,1,
,NUSC,2,,,,2,,,,,,,2,
,PLPA,,,,,,,,1,1,,,1,
,RPTS,,,1,,1,,,,,,,1,
,WFSC,,,1,1,2,,,1,1,,,3,
,Subtotal,2,1,4,5,12,1,1,5,5,,,18,
"Architecture
Business Admin
Education",ARCH,,,,,,,,3,3,,,3,
,ENDL,1,,,,1,,,,,,,1,
,URPL,,,,,,1,1,,,,,1,
,VISL,,,1,,1,,,,,,,1,
,VIST,,,,,,1,1,,,,,1,
,Subtotal,1,,1,,2,2,2,3,3,,,7,
,ACCT,,,,2,2,,,2,2,,,4,
,BUAD,1,1,,,2,4,4,,,,,6,
,EMBA,,,,,,8,8,,,,,8,
,FINC,,1,,1,2,,,,,,,2,
,INFO,,,1,,1,,,,,,,1,
,MGMT,,,1,,1,1,1,,,,,2,
,MKTG,,,,,,1,1,1,1,,,2,
,PMBA,,,,,,2,2,,,,,2,
,Subtotal,1,2,2,3,8,16,16,3,3,,,27,
,ATTR,,,,,,1,1,,,,,1,
,BIED,,,,,,1,1,,,,,1,
,EDAD,,,,,,,,1,1,,,1,
,EDCI,,,,,,2,2,2,2,,,4,
,EPSY,,,,,,,,1,1,,,1,
,SPED,,,,,,1,1,,,,,1,
,SPMT,,,,,,1,1,,,,,1,
,Subtotal,,,,,,6,6,4,4,,,10,
