Fall 2012,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
"Science                                    BIOL
CHEM CLSC MATH PHYS STAT
Subtotal",,79,48,46,50,,223,,,3,3,,,226,
,,17,14,5,8,,44,,,12,12,,,56,
,,,,,1,,1,,,,,,,1,
,,5,8,4,9,,26,1,1,2,2,,,29,
,,11,1,2,,,14,,,5,5,,,19,
,,,,,,,,15,15,1,1,,,16,
,,112,71,57,68,,308,16,16,23,23,,,347,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,57,34,39,46,,176,4,4,,,13,13,193,
,"VIBS VTPB VTPP
Subtotal GEST
Subtotal CLMD SRPH
Subtotal
Total",,,,,,,2,2,,,,,2,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,,,3,3,,,3,
,,57,34,39,46,,176,7,7,4,4,13,13,200,
,,89,79,,,,168,,,,,,,168,
,,89,79,,,,168,,,,,,,168,
,,,,,,,,2,2,,,,,2,
,,,,,,,,2,2,,,,,2,
,,,,,,,,4,4,,,,,4,
,,476,428,422,637,6,"1,969",216,216,145,145,13,13,"2,343",
"Prepared by DARS, 11 Dec 12",,,,,,,,,,,,,,,
