Fall 2012,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
"Science                                  BIOL
CHEM MATH PHYS STAT
Subtotal
Veterinary Medicine           CLVM VIBS
Subtotal",,,1,,1,2,,,,,,,2,
,,1,,,1,2,,,3,3,,,5,
,,1,1,,1,3,2,2,,,,,5,
,,,,,,,,,2,2,,,2,
,,,,,,,4,4,1,1,,,5,
,,2,2,,3,7,6,6,6,6,,,19,
,,,2,1,,3,,,,,9,9,12,
,,,,,,,,,1,1,,,1,
,,,2,1,,3,,,1,1,9,9,13,
"General Studies
Other - Special Populations
University",GEST,7,4,,,11,,,,,,,11,
,"Subtotal CLMD SABX SRPH
Subtotal Total",7,4,,,11,,,,,,,11,
,,,,,,,1,1,,,,,1,
,,,1,,1,2,1,1,,,,,3,
,,,,,,,4,4,,,,,4,
,,,1,,1,2,6,6,,,,,8,
,,18,20,23,31,92,56,56,49,49,9,9,206,
"Prepared by DARS, 11 Dec 12",,,,,,,,,,,,,,
