Fall 2012,,Undergrad uate,Masters,Doctoral,Profession al,Total
Business Admin,INFO,465,188,11,,664
,MGMT,255,56,20,,331
,MKTG,352,54,9,,415
,Subtotal,"4,370",843,71,,"5,284"
Education,CLED,8,,,,8
,EAHR,372,138,254,,764
,EPSY,275,88,157,,520
,HLKN,"2,437",173,85,,"2,695"
,TLAC,"1,257",217,177,,"1,651"
,Subtotal,"4,349",616,673,,"5,638"
Engineering,AERO,654,50,79,,783
,BMEN,417,24,89,,530
,CHEN,647,49,111,,807
,CLEN,2,,8,,10
,CSCE,830,134,135,,"1,099"
,CVEN,965,223,174,,"1,362"
,ECEN,"1,068",212,348,,"1,628"
,ETID,991,40,,,"1,031"
,ISEN,641,173,56,,870
,MEEN,"1,134",166,324,,"1,624"
,NUEN,322,73,71,,466
,PETE,726,231,114,,"1,071"
,Subtotal,"8,397","1,375","1,509",,"11,281"
G. Bush School of Govt,BUSH,,371,,,371
,Subtotal,,371,,,371
