Ethnicity Native Hawaii Only (New),,,,,,,,,,
Fall 2012,,Undergraduate,,,,,Doctoral,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,Total,Doctoral,Total,,
"Agriculture          ALED BESC NUSC RPTS WFSC
Subtotal
Architecture                 URSC Subtotal
Business Admin          BUAD
MKTG
Subtotal",,1,,,,1,,,1,
,,,,1,,1,,,1,
,,,,,1,1,,,1,
,,1,,,1,2,,,2,
,,,1,,1,2,,,2,
,,2,1,1,3,7,,,7,
,,,,,1,1,,,1,
,,,,,1,1,,,1,
,,,1,,,1,,,1,
,,,1,,1,2,,,2,
,,,2,,1,3,,,3,
"Education
Engineering",EDHL,,,1,,1,,,1,
,"KINE
Subtotal CECL CEEN CHEN CPSC CVEN ELEN INEN MEEN OCEN",,,,1,1,,,1,
,,,,1,1,2,,,2,
,,,1,,,1,,,1,
,,,,,1,1,,,1,
,,,,1,,1,,,1,
,,,,,,,1,1,1,
,,,,,1,1,,,1,
,,,,,2,2,,,2,
,,,,2,,2,,,2,
,,,,,1,1,,,1,
,,,,,2,2,,,2,
